id (035a which stats with (NATIONALLICENCE)),path to fulltext,end of embargo (YYYY-MM-DD),Institutions,id for SRU (no special characters)
(NATIONALLICENCE)springer-10.1023/A:1005754425440,JOU=11103/VOL=1997.33/ISU=5/ART=127866/BodyRef/PDF/11103_2004_Article_127866.pdf,,National Licences: ethz,springer101023A1005754425440
(NATIONALLICENCE)springer-10.1023/A:1018573026710,JOU=11243/VOL=1997.22/ISU=6/ART=172660/BodyRef/PDF/11243_2004_Article_172660.pdf,,National Licences: lib4ri,springer101023A1018573026710
(NATIONALLICENCE)springer-10.1007/BF02900303,JOU=00406/VOL=1997.247/ISU=5/ART=BF02900303/BodyRef/PDF/406_2008_Article_BF02900303.pdf,,National Licences: unibas,springer101007BF02900303
(NATIONALLICENCE)springer-10.1007/BF02765728,JOU=10948/VOL=1997.10/ISU=4/ART=BF02765728/BodyRef/PDF/10948_2007_Article_BF02765728.pdf,,National Licences: epfl,springer101007BF02765728
(NATIONALLICENCE)springer-10.1007/BF02767690,JOU=10948/VOL=1997.10/ISU=5/ART=BF02767690/BodyRef/PDF/10948_2007_Article_BF02767690.pdf,,National Licences: unige,springer101007BF02767690
(NATIONALLICENCE)springer-10.1007/s002890050076,JOU=00289/VOL=1997.38/ISU=4/ART=380400477/BodyRef/PDF/289_2009_Article_380400477.pdf,,National Licences: epfl,springer101007s002890050076
(NATIONALLICENCE)springer-10.1007/BF02262846,JOU=11224/VOL=1997.8/ISU=2/ART=BF02262846/BodyRef/PDF/11224_2005_Article_BF02262846.pdf,,National Licences: ethz,springer101007BF02262846
(NATIONALLICENCE)springer-10.1007/BF00946939,JOU=00417/VOL=1997.235/ISU=10/ART=BF00946939/BodyRef/PDF/417_2004_Article_BF00946939.pdf,,National Licences: unibas,springer101007BF00946939
(NATIONALLICENCE)springer-10.1007/BF01539781,JOU=00291/VOL=1997.19/ISU=4/ART=BF01539781/BodyRef/PDF/291_2005_Article_BF01539781.pdf,,National Licences: unifr,springer101007BF01539781
(NATIONALLICENCE)springer-10.1023/A:1018383106236,JOU=10858/VOL=1997.10/ISU=4/ART=144377/BodyRef/PDF/10858_2004_Article_144377.pdf,,National Licences: ethz,springer101023A1018383106236
(NATIONALLICENCE)springer-10.1007/s001340050490,JOU=00134/VOL=1997.23/ISU=12/ART=70231225134/BodyRef/PDF/134_2009_Article_70231225134.pdf,,National Licences: unige,springer101007s001340050490
(NATIONALLICENCE)springer-10.1007/s001340050474,JOU=00134/VOL=1997.23/ISU=11/ART=70231165134/BodyRef/PDF/134_2009_Article_70231165134.pdf,,National Licences: unibe,springer101007s001340050474
(NATIONALLICENCE)springer-10.1007/BF02764580,JOU=10895/VOL=1997.7/ISU=1/ART=BF02764580/BodyRef/PDF/10895_2007_Article_BF02764580.pdf,,National Licences: epfl,springer101007BF02764580
(NATIONALLICENCE)springer-10.1007/BF02768938,JOU=10773/VOL=1997.36/ISU=11/ART=BF02768938/BodyRef/PDF/10773_2007_Article_BF02768938.pdf,,National Licences: unige,springer101007BF02768938
(NATIONALLICENCE)springer-10.1007/BF01628137,JOU=00276/VOL=1997.19/ISU=2/ART=BF01628137/BodyRef/PDF/276_2005_Article_BF01628137.pdf,,National Licences: unige,springer101007BF01628137
(NATIONALLICENCE)springer-10.1007/BF03161972,JOU=00723/VOL=1997.13/ISU=1-2/ART=BF03161972/BodyRef/PDF/723_2009_Article_BF03161972.pdf,,National Licences: uzh,springer101007BF03161972
(NATIONALLICENCE)springer-10.1007/BF02765101,JOU=10103/VOL=1997.12/ISU=3/ART=BF02765101/BodyRef/PDF/10103_2007_Article_BF02765101.pdf,,National Licences: epfl,springer101007BF02765101
(NATIONALLICENCE)springer-10.1007/BF02767161,JOU=10103/VOL=1997.12/ISU=4/ART=BF02767161/BodyRef/PDF/10103_2007_Article_BF02767161.pdf,,National Licences: epfl,springer101007BF02767161
(NATIONALLICENCE)springer-10.1007/BF01979507,JOU=10973/VOL=1997.48/ISU=3/ART=BF01979507/BodyRef/PDF/10973_2005_Article_BF01979507.pdf,,National Licences: ethz,springer101007BF01979507
(NATIONALLICENCE)springer-10.1007/BF01592328,JOU=00038/VOL=1997.42/ISU=5/ART=BF01592328/BodyRef/PDF/38_2005_Article_BF01592328.pdf,,National Licences: unige,springer101007BF01592328
(NATIONALLICENCE)springer-10.1007/BF01318136,JOU=00038/VOL=1997.42/ISU=2/ART=BF01318136/BodyRef/PDF/38_2005_Article_BF01318136.pdf,,National Licences: unibas,springer101007BF01318136
(NATIONALLICENCE)springer-10.1007/BF01318139,JOU=00038/VOL=1997.42/ISU=2/ART=BF01318139/BodyRef/PDF/38_2005_Article_BF01318139.pdf,,National Licences: unibe,springer101007BF01318139
(NATIONALLICENCE)springer-10.1007/BF01365161,JOU=00038/VOL=1997.42/ISU=2/ART=BF01365161/BodyRef/PDF/38_2005_Article_BF01365161.pdf,,National Licences: unibe,springer101007BF01365161
(NATIONALLICENCE)springer-10.1007/BF02869205,JOU=12039/VOL=1997.109/ISU=6/ART=BF02869205/BodyRef/PDF/12039_2008_Article_BF02869205.pdf,,National Licences: unibe,springer101007BF02869205
(NATIONALLICENCE)springer-10.1007/BF02619916,JOU=10353/VOL=1997.29/ISU=6/ART=BF02619916/BodyRef/PDF/10353_2007_Article_BF02619916.pdf,,National Licences: unibe,springer101007BF02619916
(NATIONALLICENCE)springer-10.1007/BF02621315,JOU=10353/VOL=1997.29/ISU=5/ART=BF02621315/BodyRef/PDF/10353_2007_Article_BF02621315.pdf,,National Licences: unibe,springer101007BF02621315
(NATIONALLICENCE)springer-10.1007/BF02831338,JOU=12098/VOL=1998.65/ISU=6/ART=BF02831338/BodyRef/PDF/12098_2008_Article_BF02831338.pdf,,National Licences: unibe,springer101007BF02831338
(NATIONALLICENCE)springer-10.1023/A:1008339928400,JOU=10858/VOL=1999.14/ISU=3/ART=235595/BodyRef/PDF/10858_2004_Article_235595.pdf,,National Licences: unil,springer101023A1008339928400
(NATIONALLICENCE)springer-10.1023/A:1009681725540,JOU=11032/VOL=1998.4/ISU=2/ART=158845/BodyRef/PDF/11032_2004_Article_158845.pdf,,National Licences: unibas,springer101023A1009681725540
(NATIONALLICENCE)springer-10.1023/A:1007956901689,JOU=10933/VOL=1998.19/ISU=1/ART=139282/BodyRef/PDF/10933_2004_Article_139282.pdf,,National Licences: unibe,springer101023A1007956901689
(NATIONALLICENCE)springer-10.1007/BF01359718,JOU=00038/VOL=1998.43/ISU=3/ART=BF01359718/BodyRef/PDF/38_2005_Article_BF01359718.pdf,,National Licences: uzh,springer101007BF01359718
(NATIONALLICENCE)springer-10.1007/BF01354248,JOU=00038/VOL=1998.43/ISU=5/ART=BF01354248/BodyRef/PDF/38_2005_Article_BF01354248.pdf,,National Licences: unibe,springer101007BF01354248
(NATIONALLICENCE)springer-10.1007/BF03167317,JOU=13160/VOL=1998.15/ISU=3/ART=BF03167317/BodyRef/PDF/13160_2009_Article_BF03167317.pdf,,National Licences: uzh,springer101007BF03167317
(NATIONALLICENCE)springer-10.1007/BF02787176,JOU=12010/VOL=1998.74/ISU=2/ART=BF02787176/BodyRef/PDF/12010_2007_Article_BF02787176.pdf,,National Licences: unil,springer101007BF02787176
(NATIONALLICENCE)springer-10.1385/IJGC:23:2:115,JOU=12029/VOL=1998.23/ISU=2/ART=2302115/BodyRef/PDF/12029_2007_Article_2302115.pdf,,National Licences: unibe,springer101385IJGC232115
(NATIONALLICENCE)springer-10.1007/BF02979338,JOU=11367/VOL=1998.3/ISU=6/ART=BF02979338/BodyRef/PDF/11367_2008_Article_BF02979338.pdf,,National Licences: ethz,springer101007BF02979338
(NATIONALLICENCE)springer-10.1007/BF02979833,JOU=11367/VOL=1998.3/ISU=5/ART=BF02979833/BodyRef/PDF/11367_2008_Article_BF02979833.pdf,,National Licences: ethz,springer101007BF02979833
(NATIONALLICENCE)springer-10.1007/BF02803646,JOU=12224/VOL=1998.33/ISU=4/ART=BF02803646/BodyRef/PDF/12224_2008_Article_BF02803646.pdf,,National Licences: unige,springer101007BF02803646
(NATIONALLICENCE)springer-10.1007/BF01708631,JOU=10096/VOL=1998.17/ISU=8/ART=BF01708631/BodyRef/PDF/10096_2005_Article_BF01708631.pdf,,National Licences: uzh,springer101007BF01708631
(NATIONALLICENCE)springer-10.1007/s10441-010-9118-5,JOU=10441/VOL=2010.58/ISU=4/ART=9118/BodyRef/PDF/10441_2010_Article_9118.pdf,,National Licences: unige,springer101007s1044101091185
(NATIONALLICENCE)springer-10.1007/s00253-009-2422-9,JOU=00253/VOL=2010.86/ISU=1/ART=2422/BodyRef/PDF/253_2009_Article_2422.pdf,,National Licences: fachhochschulen,springer101007s0025300924229
(NATIONALLICENCE)springer-10.1007/s00775-009-0599-0,JOU=00775/VOL=2010.15/ISU=1/ART=599/BodyRef/PDF/775_2009_Article_599.pdf,,National Licences: uzh,springer101007s0077500905990
(NATIONALLICENCE)springer-10.1007/s00775-010-0654-x,JOU=00775/VOL=2010.15/ISU=6/ART=654/BodyRef/PDF/775_2010_Article_654.pdf,,National Licences: epfl unil,springer101007s007750100654x
(NATIONALLICENCE)springer-10.1007/s00775-010-0644-z,JOU=00775/VOL=2010.15/ISU=5/ART=644/BodyRef/PDF/775_2010_Article_644.pdf,,National Licences: uzh,springer101007s007750100644z
(NATIONALLICENCE)springer-10.1007/s10877-010-9270-0,JOU=10877/VOL=2010.24/ISU=6/ART=9270/BodyRef/PDF/10877_2010_Article_9270.pdf,,National Licences: unige,springer101007s1087701092700
(NATIONALLICENCE)springer-10.1007/s10533-009-9383-z,JOU=10533/VOL=2010.98/ISU=1-3/ART=9383/BodyRef/PDF/10533_2009_Article_9383.pdf,,National Licences: ethz,springer101007s105330099383z
(NATIONALLICENCE)springer-10.1007/s11009-009-9124-8,JOU=11009/VOL=2010.12/ISU=4/ART=9124/BodyRef/PDF/11009_2009_Article_9124.pdf,,National Licences: uzh,springer101007s1100900991248
(NATIONALLICENCE)springer-10.1007/s00209-008-0463-x,JOU=00209/VOL=2010.264/ISU=2/ART=463/BodyRef/PDF/209_2008_Article_463.pdf,,National Licences: epfl,springer101007s002090080463x
(NATIONALLICENCE)springer-10.1007/s00015-010-0044-y,JOU=00015/VOL=2010.103/ISU=3/ART=44/BodyRef/PDF/15_2010_Article_44.pdf,,National Licences: unibe,springer101007s000150100044y
(NATIONALLICENCE)springer-10.1007/s00015-010-0030-4,JOU=00015/VOL=2010.103/ISU=3/ART=30/BodyRef/PDF/15_2010_Article_30.pdf,,National Licences: unibe,springer101007s0001501000304
(NATIONALLICENCE)springer-10.1007/s00015-010-0018-0,JOU=00015/VOL=2010.103/ISU=2/ART=18/BodyRef/PDF/15_2010_Article_18.pdf,,National Licences: uzh,springer101007s0001501000180
(NATIONALLICENCE)springer-10.1007/s00015-010-0014-4,JOU=00015/VOL=2010.103/ISU=2/ART=14/BodyRef/PDF/15_2010_Article_14.pdf,,National Licences: unibe unige,springer101007s0001501000144
(NATIONALLICENCE)springer-10.1007/s10592-009-9904-2,JOU=10592/VOL=2010.11/ISU=3/ART=9904/BodyRef/PDF/10592_2009_Article_9904.pdf,,National Licences: lib4ri,springer101007s1059200999042
(NATIONALLICENCE)springer-10.1007/s10592-009-9956-3,JOU=10592/VOL=2010.11/ISU=4/ART=9956/BodyRef/PDF/10592_2009_Article_9956.pdf,,National Licences: unibas,springer101007s1059200999563
(NATIONALLICENCE)springer-10.1007/s00410-010-0510-6,JOU=00410/VOL=2010.160/ISU=6/ART=510/BodyRef/PDF/410_2010_Article_510.pdf,,National Licences: unibe,springer101007s0041001005106
