id (035a which stats with (NATIONALLICENCE)),path to fulltext,end of embargo (YYYY-MM-DD),Institutions,id for SRU (no special characters)
(NATIONALLICENCE)springer-10.1007/s00410-010-0549-4,JOU=00410/VOL=2010.160/ISU=5/ART=549/BodyRef/PDF/410_2010_Article_549.pdf,,National Licences: unine,springer101007s0041001005494
(NATIONALLICENCE)springer-10.1007/s10342-010-0354-7,JOU=10342/VOL=2010.129/ISU=4/ART=354/BodyRef/PDF/10342_2010_Article_354.pdf,,National Licences: lib4ri,springer101007s1034201003547
(NATIONALLICENCE)springer-10.1007/s00129-009-2498-4,JOU=00129/VOL=2010.43/ISU=5/ART=2498/BodyRef/PDF/129_2009_Article_2498.pdf,,National Licences: unibe,springer101007s0012900924984
(NATIONALLICENCE)springer-10.1007/s00115-009-2913-z,JOU=00115/VOL=2010.81/ISU=9/ART=2913/BodyRef/PDF/115_2009_Article_2913.pdf,,National Licences: uzh,springer101007s001150092913z
(NATIONALLICENCE)springer-10.1007/s00774-009-0101-7,JOU=00774/VOL=2010.28/ISU=1/ART=101/BodyRef/PDF/774_2009_Article_101.pdf,,National Licences: unibas,springer101007s0077400901017
(NATIONALLICENCE)springer-10.1007/s10856-008-3533-z,JOU=10856/VOL=2009.20/ISU=S1/ART=3533/BodyRef/PDF/10856_2008_Article_3533.pdf,,National Licences: epfl,springer101007s108560083533z
(NATIONALLICENCE)springer-10.1007/s10811-008-9335-3,JOU=10811/VOL=2009.21/ISU=1/ART=9335/BodyRef/PDF/10811_2008_Article_9335.pdf,,National Licences: uzh,springer101007s1081100893353
(NATIONALLICENCE)springer-10.1007/s00431-008-0755-5,JOU=00431/VOL=2009.168/ISU=3/ART=755/BodyRef/PDF/431_2008_Article_755.pdf,,National Licences: uzh,springer101007s0043100807555
(NATIONALLICENCE)springer-10.1007/s00431-008-0765-3,JOU=00431/VOL=2009.168/ISU=4/ART=765/BodyRef/PDF/431_2008_Article_765.pdf,,National Licences: uzh,springer101007s0043100807653
(NATIONALLICENCE)springer-10.1007/s00426-008-0147-5,JOU=00426/VOL=2009.73/ISU=1/ART=147/BodyRef/PDF/426_2008_Article_147.pdf,,National Licences: uzh,springer101007s0042600801475
(NATIONALLICENCE)springer-10.1007/s00426-008-0206-y,JOU=00426/VOL=2009.73/ISU=2/ART=206/BodyRef/PDF/426_2008_Article_206.pdf,,National Licences: unifr,springer101007s004260080206y
(NATIONALLICENCE)springer-10.1007/s11235-008-9134-9,JOU=11235/VOL=2009.40/ISU=3-4/ART=9134/BodyRef/PDF/11235_2008_Article_9134.pdf,,National Licences: ethz,springer101007s1123500891349
(NATIONALLICENCE)springer-10.1007/s10554-008-9397-y,JOU=10554/VOL=2009.25/ISU=4/ART=9397/BodyRef/PDF/10554_2008_Article_9397.pdf,,National Licences: uzh,springer101007s105540089397y
(NATIONALLICENCE)springer-10.1007/s00033-008-7131-1,JOU=00033/VOL=2009.60/ISU=2/ART=7131/BodyRef/PDF/33_2008_Article_7131.pdf,,National Licences: ethz,springer101007s0003300871311
(NATIONALLICENCE)springer-10.1007/s00268-009-0032-4,JOU=00268/VOL=2009.33/ISU=7/ART=32/BodyRef/PDF/268_2009_Article_32.pdf,,National Licences: unibe,springer101007s0026800900324
(NATIONALLICENCE)springer-10.1007/s00268-009-0031-5,JOU=00268/VOL=2009.33/ISU=7/ART=31/BodyRef/PDF/268_2009_Article_31.pdf,,National Licences: uzh,springer101007s0026800900315
(NATIONALLICENCE)springer-10.1007/s00268-008-9869-1,JOU=00268/VOL=2009.33/ISU=4/ART=9869/BodyRef/PDF/268_2008_Article_9869.pdf,,National Licences: unil,springer101007s0026800898691
(NATIONALLICENCE)springer-10.1007/s00268-009-0099-y,JOU=00268/VOL=2009.33/ISU=8/ART=99/BodyRef/PDF/268_2009_Article_99.pdf,,National Licences: uzh,springer101007s002680090099y
(NATIONALLICENCE)springer-10.1007/s00035-009-0050-8,JOU=00035/VOL=2009.119/ISU=1/ART=50/BodyRef/PDF/35_2009_Article_50.pdf,,National Licences: ethz,springer101007s0003500900508
(NATIONALLICENCE)springer-10.1007/s00059-009-3274-x,JOU=00059/VOL=2009.34/ISU=7/ART=3274/BodyRef/PDF/59_2009_Article_3274.pdf,,National Licences: uzh,springer101007s000590093274x
(NATIONALLICENCE)springer-10.1007/s11999-008-0617-5,JOU=11999/VOL=2009.467/ISU=3/ART=617/BodyRef/PDF/11999_2008_Article_617.pdf,,National Licences: unibe,springer101007s1199900806175
(NATIONALLICENCE)springer-10.1007/s11999-009-0711-3,JOU=11999/VOL=2009.467/ISU=8/ART=711/BodyRef/PDF/11999_2009_Article_711.pdf,,National Licences: uzh,springer101007s1199900907113
(NATIONALLICENCE)springer-10.1007/s11999-008-0495-x,JOU=11999/VOL=2009.467/ISU=2/ART=495/BodyRef/PDF/11999_2008_Article_495.pdf,,National Licences: uzh,springer101007s119990080495x
(NATIONALLICENCE)springer-10.1007/s11999-008-0565-0,JOU=11999/VOL=2009.467/ISU=2/ART=565/BodyRef/PDF/11999_2008_Article_565.pdf,,National Licences: uzh,springer101007s1199900805650
(NATIONALLICENCE)springer-10.1617/s11527-008-9421-7,JOU=11527/VOL=2009.42/ISU=6/ART=9421/BodyRef/PDF/11527_2008_Article_9421.pdf,,National Licences: epfl,springer101617s1152700894217
(NATIONALLICENCE)springer-10.1617/s11527-008-9423-5,JOU=11527/VOL=2009.42/ISU=6/ART=9423/BodyRef/PDF/11527_2008_Article_9423.pdf,,National Licences: lib4ri,springer101617s1152700894235
(NATIONALLICENCE)springer-10.1617/s11527-009-9527-6,JOU=11527/VOL=2009.42/ISU=9/ART=9527/BodyRef/PDF/11527_2009_Article_9527.pdf,,National Licences: usi fachhochschulen,springer101617s1152700995276
(NATIONALLICENCE)springer-10.1007/BF03324911,JOU=40520/VOL=2009.21/ISU=3/ART=BF03324911/BodyRef/PDF/40520_2013_Article_BF03324911.pdf,,National Licences: unige,springer101007BF03324911
(NATIONALLICENCE)springer-10.1007/s11538-009-9407-9,JOU=11538/VOL=2009.71/ISU=6/ART=9407/BodyRef/PDF/11538_2009_Article_9407.pdf,,National Licences: unifr,springer101007s1153800994079
(NATIONALLICENCE)springer-10.1007/BF03340385,JOU=40702/VOL=2009.46/ISU=4/ART=BF03340385/BodyRef/PDF/40702_2014_Article_BF03340385.pdf,,National Licences: fachhochschulen,springer101007BF03340385
(NATIONALLICENCE)springer-10.1007/s11609-009-0105-0,JOU=11609/VOL=2009.19/ISU=3/ART=105/BodyRef/PDF/11609_2009_Article_105.pdf,,National Licences: uzh,springer101007s1160900901050
(NATIONALLICENCE)springer-10.1007/s10750-009-9963-x,JOU=10750/VOL=2010.657/ISU=1/ART=9963/BodyRef/PDF/10750_2009_Article_9963.pdf,,National Licences: ethz lib4ri,springer101007s107500099963x
(NATIONALLICENCE)springer-10.1007/s00424-009-0735-2,JOU=00424/VOL=2010.459/ISU=3/ART=735/BodyRef/PDF/424_2009_Article_735.pdf,,National Licences: unige,springer101007s0042400907352
(NATIONALLICENCE)springer-10.1007/s00296-009-1144-8,JOU=00296/VOL=2010.30/ISU=12/ART=1144/BodyRef/PDF/296_2009_Article_1144.pdf,,National Licences: unibas,springer101007s0029600911448
(NATIONALLICENCE)springer-10.1140/epjb/e2010-00276-1,JOU=10051/VOL=2010.77/ISU=4/ART=9859/BodyRef/PDF/10051_2010_Article_9859.pdf,,National Licences: unige,springer101140epjbe2010002761
(NATIONALLICENCE)springer-10.1007/s00134-009-1657-3,JOU=00134/VOL=2010.36/ISU=2/ART=1657/BodyRef/PDF/134_2009_Article_1657.pdf,,National Licences: uzh,springer101007s0013400916573
(NATIONALLICENCE)springer-10.1007/s00132-009-1533-4,JOU=00132/VOL=2010.39/ISU=1/ART=1533/BodyRef/PDF/132_2009_Article_1533.pdf,,National Licences: unibas,springer101007s0013200915334
(NATIONALLICENCE)springer-10.1007/s11079-009-9147-3,JOU=11079/VOL=2010.21/ISU=1/ART=9147/BodyRef/PDF/11079_2009_Article_9147.pdf,,National Licences: unibe,springer101007s1107900991473
(NATIONALLICENCE)springer-10.1007/s00126-009-0255-1,JOU=00126/VOL=2010.45/ISU=1/ART=255/BodyRef/PDF/126_2009_Article_255.pdf,,National Licences: ethz,springer101007s0012600902551
(NATIONALLICENCE)springer-10.1007/s10792-008-9270-y,JOU=10792/VOL=2010.30/ISU=1/ART=9270/BodyRef/PDF/10792_2008_Article_9270.pdf,,National Licences: unige,springer101007s107920089270y
(NATIONALLICENCE)springer-10.1007/s10792-010-9366-z,JOU=10792/VOL=2010.30/ISU=5/ART=9366/BodyRef/PDF/10792_2010_Article_9366.pdf,,National Licences: unige unil,springer101007s107920109366z
(NATIONALLICENCE)springer-10.1007/s11249-009-9567-7,JOU=11249/VOL=2010.39/ISU=1/ART=9567/BodyRef/PDF/11249_2009_Article_9567.pdf,,National Licences: unibas,springer101007s1124900995677
(NATIONALLICENCE)springer-10.1007/s11249-010-9677-2,JOU=11249/VOL=2010.39/ISU=3/ART=9677/BodyRef/PDF/11249_2010_Article_9677.pdf,,National Licences: unibas,springer101007s1124901096772
(NATIONALLICENCE)springer-10.1007/s11249-010-9622-4,JOU=11249/VOL=2010.39/ISU=2/ART=9622/BodyRef/PDF/11249_2010_Article_9622.pdf,,National Licences: ethz,springer101007s1124901096224
(NATIONALLICENCE)springer-10.1007/s10040-010-0627-8,JOU=10040/VOL=2010.18/ISU=7/ART=627/BodyRef/PDF/10040_2010_Article_627.pdf,,National Licences: unine,springer101007s1004001006278
(NATIONALLICENCE)springer-10.1007/s10040-009-0569-1,JOU=10040/VOL=2010.18/ISU=4/ART=569/BodyRef/PDF/10040_2009_Article_569.pdf,,National Licences: ethz,springer101007s1004000905691
(NATIONALLICENCE)springer-10.1007/s10853-008-3072-5,JOU=10853/VOL=2009.44/ISU=2/ART=3072/BodyRef/PDF/10853_2008_Article_3072.pdf,,National Licences: lib4ri,springer101007s1085300830725
(NATIONALLICENCE)springer-10.1007/s10404-009-0424-7,JOU=10404/VOL=2009.7/ISU=4/ART=424/BodyRef/PDF/10404_2009_Article_424.pdf,,National Licences: epfl,springer101007s1040400904247
(NATIONALLICENCE)springer-10.1007/s10993-008-9115-6,JOU=10993/VOL=2009.8/ISU=1/ART=9115/BodyRef/PDF/10993_2008_Article_9115.pdf,,National Licences: unifr,springer101007s1099300891156
(NATIONALLICENCE)springer-10.1007/s00018-010-0454-z,JOU=00018/VOL=2010.67/ISU=20/ART=454/BodyRef/PDF/18_2010_Article_454.pdf,,National Licences: epfl,springer101007s000180100454z
(NATIONALLICENCE)springer-10.1007/s00018-010-0321-y,JOU=00018/VOL=2010.67/ISU=13/ART=321/BodyRef/PDF/18_2010_Article_321.pdf,,National Licences: ethz,springer101007s000180100321y
(NATIONALLICENCE)springer-10.1007/s11136-009-9571-2,JOU=11136/VOL=2010.19/ISU=1/ART=9571/BodyRef/PDF/11136_2009_Article_9571.pdf,,National Licences: unibas,springer101007s1113600995712
(NATIONALLICENCE)springer-10.1007/s00405-009-1157-7,JOU=00405/VOL=2010.267/ISU=6/ART=1157/BodyRef/PDF/405_2009_Article_1157.pdf,,National Licences: unige unil,springer101007s0040500911577
(NATIONALLICENCE)springer-10.1007/s00391-009-0090-0,JOU=00391/VOL=2010.43/ISU=1/ART=90/BodyRef/PDF/391_2009_Article_90.pdf,,National Licences: uzh,springer101007s0039100900900
(NATIONALLICENCE)springer-10.1007/s00125-009-1578-2,JOU=00125/VOL=2010.53/ISU=1/ART=1578/BodyRef/PDF/125_2009_Article_1578.pdf,,National Licences: ethz,springer101007s0012500915782
(NATIONALLICENCE)springer-10.1007/s00125-009-1592-4,JOU=00125/VOL=2010.53/ISU=3/ART=1592/BodyRef/PDF/125_2009_Article_1592.pdf,,National Licences: unige,springer101007s0012500915924
(NATIONALLICENCE)springer-10.1007/s00418-010-0736-4,JOU=00418/VOL=2010.134/ISU=4/ART=736/BodyRef/PDF/418_2010_Article_736.pdf,,National Licences: unibe,springer101007s0041801007364
(NATIONALLICENCE)springer-10.1007/s10915-008-9232-6,JOU=10915/VOL=2010.43/ISU=3/ART=9232/BodyRef/PDF/10915_2008_Article_9232.pdf,,National Licences: epfl,springer101007s1091500892326
(NATIONALLICENCE)springer-10.1007/s10546-010-9512-1,JOU=10546/VOL=2010.136/ISU=3/ART=9512/BodyRef/PDF/10546_2010_Article_9512.pdf,,National Licences: epfl unil,springer101007s1054601095121
(NATIONALLICENCE)springer-10.1007/s10856-009-3962-3,JOU=10856/VOL=2010.21/ISU=3/ART=3962/BodyRef/PDF/10856_2009_Article_3962.pdf,,National Licences: epfl,springer101007s1085600939623
(NATIONALLICENCE)springer-10.1007/s00701-010-0643-4,JOU=00701/VOL=2010.152/ISU=6/ART=643/BodyRef/PDF/701_2010_Article_643.pdf,,National Licences: uzh,springer101007s0070101006434
(NATIONALLICENCE)springer-10.1007/s00701-010-0663-0,JOU=00701/VOL=2010.152/ISU=8/ART=663/BodyRef/PDF/701_2010_Article_663.pdf,,National Licences: unisg,springer101007s0070101006630
(NATIONALLICENCE)springer-10.1007/s00701-010-0770-y,JOU=00701/VOL=2010.152/ISU=11/ART=770/BodyRef/PDF/701_2010_Article_770.pdf,,National Licences: unige,springer101007s007010100770y
(NATIONALLICENCE)springer-10.1007/s00701-010-0712-8,JOU=00701/VOL=2010.152/ISU=11/ART=712/BodyRef/PDF/701_2010_Article_712.pdf,,National Licences: unige,springer101007s0070101007128
(NATIONALLICENCE)springer-10.1007/s11104-010-0374-6,JOU=11104/VOL=2010.333/ISU=1-2/ART=374/BodyRef/PDF/11104_2010_Article_374.pdf,,National Licences: epfl lib4ri,springer101007s1110401003746
(NATIONALLICENCE)springer-10.1007/s10660-010-9062-0,JOU=10660/VOL=2010.10/ISU=3-4/ART=9062/BodyRef/PDF/10660_2010_Article_9062.pdf,,National Licences: ethz,springer101007s1066001090620
(NATIONALLICENCE)springer-10.1007/s00366-009-0154-1,JOU=00366/VOL=2010.26/ISU=2/ART=154/BodyRef/PDF/366_2009_Article_154.pdf,,National Licences: epfl,springer101007s0036600901541
(NATIONALLICENCE)springer-10.1007/s10463-008-0175-3,JOU=10463/VOL=2010.62/ISU=2/ART=175/BodyRef/PDF/10463_2008_Article_175.pdf,,National Licences: unige,springer101007s1046300801753
(NATIONALLICENCE)springer-10.1007/s00531-009-0490-9,JOU=00531/VOL=2010.99/ISU=8/ART=490/BodyRef/PDF/531_2009_Article_490.pdf,,National Licences: unibe,springer101007s0053100904909
(NATIONALLICENCE)springer-10.1007/s10096-010-1022-z,JOU=10096/VOL=2010.29/ISU=12/ART=1022/BodyRef/PDF/10096_2010_Article_1022.pdf,,National Licences: unibas,springer101007s100960101022z
(NATIONALLICENCE)springer-10.1007/s12630-009-9227-2,JOU=12630/VOL=2010.57/ISU=2/ART=9227/BodyRef/PDF/12630_2009_Article_9227.pdf,,National Licences: uzh,springer101007s1263000992272
(NATIONALLICENCE)springer-10.1007/s11270-009-0173-y,JOU=11270/VOL=2010.208/ISU=1-4/ART=173/BodyRef/PDF/11270_2009_Article_173.pdf,,National Licences: ethz,springer101007s112700090173y
(NATIONALLICENCE)springer-10.1007/s12594-010-0005-0,JOU=12594/VOL=2010.75/ISU=1/ART=5/BodyRef/PDF/12594_2010_Article_5.pdf,,National Licences: unibas unibe,springer101007s1259401000050
(NATIONALLICENCE)springer-10.1007/s12525-010-0040-0,JOU=12525/VOL=2010.20/ISU=2/ART=40/BodyRef/PDF/12525_2010_Article_40.pdf,,National Licences: unisg,springer101007s1252501000400
(NATIONALLICENCE)springer-10.1007/s11420-009-9151-6,JOU=11420/VOL=2010.6/ISU=2/ART=9151/BodyRef/PDF/11420_2009_Article_9151.pdf,,National Licences: uzh,springer101007s1142000991516
(NATIONALLICENCE)springer-10.1007/s11692-010-9092-5,JOU=11692/VOL=2010.37/ISU=4/ART=9092/BodyRef/PDF/11692_2010_Article_9092.pdf,,National Licences: unil,springer101007s1169201090925
(NATIONALLICENCE)springer-10.1051/forest/2010045,JOU=13595/VOL=2010.67/ISU=8/ART=670800809/BodyRef/PDF/13595_2011_Article_670800809.pdf,,National Licences: unibe,springer101051forest2010045
