id (035a which stats with (NATIONALLICENCE)),path to fulltext,end of embargo (YYYY-MM-DD),Institutions,id for SRU (no special characters)
(NATIONALLICENCE)gruyter-10.1515/hzhz-2016-0470,gruyter/j/hzhz.2016.303.issue-3/hzhz-2016-0470/hzhz-2016-0470.pdf,,National Licences: unibe,gruyter101515hzhz20160470
(NATIONALLICENCE)gruyter-10.1515/hzhz-2016-0406,gruyter/j/hzhz.2016.303.issue-2/hzhz-2016-0406/hzhz-2016-0406.pdf,,National Licences: unibas,gruyter101515hzhz20160406
(NATIONALLICENCE)gruyter-10.1515/jbwg-2016-0021,gruyter/j/jbwg.2016.57.issue-2/jbwg-2016-0021/jbwg-2016-0021.pdf,,National Licences: unibe,gruyter101515jbwg20160021
(NATIONALLICENCE)gruyter-10.1515/zstw-2016-0017,gruyter/j/zstw.2016.128.issue-2/zstw-2016-0017/zstw-2016-0017.pdf,,National Licences: uzh,gruyter101515zstw20160017
(NATIONALLICENCE)gruyter-10.1515/crpm-2015-0103,gruyter/j/crpm.2016.5.issue-2/crpm-2015-0103/crpm-2015-0103.pdf,,National Licences: uzh,gruyter101515crpm20150103
(NATIONALLICENCE)gruyter-10.1515/crpm-2015-0100,gruyter/j/crpm.2016.5.issue-2/crpm-2015-0100/crpm-2015-0100.pdf,,National Licences: uzh,gruyter101515crpm20150100
(NATIONALLICENCE)gruyter-10.1515/sats-2015-0017,gruyter/j/sats.2016.17.issue-1/sats-2015-0017/sats-2015-0017.pdf,,National Licences: unifr,gruyter101515sats20150017
(NATIONALLICENCE)gruyter-10.1515/hzhz-2016-0374,gruyter/j/hzhz.2016.303.issue-1/hzhz-2016-0374/hzhz-2016-0374.pdf,,National Licences: unibe,gruyter101515hzhz20160374
(NATIONALLICENCE)gruyter-10.1515/ip-2016-0006,gruyter/j/iprg.2016.13.issue-1/ip-2016-0006/ip-2016-0006.pdf,,National Licences: unige unine,gruyter101515ip20160006
(NATIONALLICENCE)gruyter-10.1515/hzhz-2016-0095,gruyter/j/hzhz.2016.302.issue-2/hzhz-2016-0095/hzhz-2016-0095.pdf,,National Licences: uzh,gruyter101515hzhz20160095
(NATIONALLICENCE)gruyter-10.1515/ejnm-2016-0012,gruyter/j/ejnm.2016.8.issue-3/ejnm-2016-0012/ejnm-2016-0012.pdf,,National Licences: unibas unibe,gruyter101515ejnm20160012
(NATIONALLICENCE)gruyter-10.1515/asia-2015-0051,gruyter/j/asia.2016.70.issue-2/asia-2015-0051/asia-2015-0051.pdf,,National Licences: unil,gruyter101515asia20150051
(NATIONALLICENCE)gruyter-10.1515/strm-2015-0005,gruyter/j/strm.2016.33.issue-3-4/strm-2015-0005/strm-2015-0005.pdf,,National Licences: uzh,gruyter101515strm20150005
(NATIONALLICENCE)gruyter-10.1515/bmt-2016-0153,gruyter/j/bmte.2016.61.issue-4/bmt-2016-0153/bmt-2016-0153.pdf,,National Licences: fachhochschulen,gruyter101515bmt20160153
(NATIONALLICENCE)gruyter-10.1515/glot-2016-0012,gruyter/j/glot.2016.7.issue-2/glot-2016-0012/glot-2016-0012.pdf,,National Licences: unibas,gruyter101515glot20160012
(NATIONALLICENCE)gruyter-10.1515/dzph-2016-0058,gruyter/j/dzph.2016.64.issue-5/dzph-2016-0058/dzph-2016-0058.pdf,,National Licences: unisg,gruyter101515dzph20160058
