id (035a which stats with (NATIONALLICENCE)),path to fulltext,end of embargo (YYYY-MM-DD),Institutions,id for SRU (no special characters)
(NATIONALLICENCE)gruyter-10.1515/abitech-2017-0059,fulltexts/gruyter/j/abitech.2017.37.issue-4/abitech-2017-0059/abitech-2017-0059.pdf,,National Licences: ethz,gruyter101515abitech20170059
(NATIONALLICENCE)gruyter-10.1515/hzhz-2017-1030,fulltexts/gruyter/j/hzhz.2017.304.issue-1/hzhz-2017-1030/hzhz-2017-1030.pdf,,National Licences: unifr,gruyter101515hzhz20171030
(NATIONALLICENCE)gruyter-10.1515/aot-2017-0052,fulltexts/gruyter/j/aot.2017.6.issue-6/aot-2017-0052/aot-2017-0052.pdf,,National Licences: lib4ri,gruyter101515aot20170052
(NATIONALLICENCE)gruyter-10.1515/bd-2017-0084,fulltexts/gruyter/j/bd.2017.51.issue-9/bd-2017-0084/bd-2017-0084.pdf,,National Licences: ethz,gruyter101515bd20170084
(NATIONALLICENCE)gruyter-10.1515/juru-2017-0098,fulltexts/gruyter/j/juru.2017.2017.issue-11/juru-2017-0098/juru-2017-0098.pdf,,National Licences: unibas,gruyter101515juru20170098
(NATIONALLICENCE)gruyter-10.1515/abitech-2017-0005,fulltexts/gruyter/j/abitech.2017.37.issue-1/abitech-2017-0005/abitech-2017-0005.pdf,,National Licences: unibas,gruyter101515abitech20170005
(NATIONALLICENCE)gruyter-10.1515/cclm-2017-0144,fulltexts/gruyter/j/cclm.2017.55.issue-12/cclm-2017-0144/cclm-2017-0144.pdf,,National Licences: unibas,gruyter101515cclm20170144
(NATIONALLICENCE)gruyter-10.1515/hf-2016-0134,fulltexts/gruyter/j/hfsg.2017.71.issue-3/hf-2016-0134/hf-2016-0134.pdf,,National Licences: lib4ri unisg,gruyter101515hf20160134
(NATIONALLICENCE)gruyter-10.1515/jpm-2016-0101,fulltexts/gruyter/j/jpme.2017.45.issue-7/jpm-2016-0101/jpm-2016-0101.pdf,,National Licences: uzh,gruyter101515jpm20160101
(NATIONALLICENCE)gruyter-10.1515/hf-2016-0154,fulltexts/gruyter/j/hfsg.2017.71.issue-5/hf-2016-0154/hf-2016-0154.pdf,,National Licences: ethz lib4ri fachhochschulen,gruyter101515hf20160154
(NATIONALLICENCE)gruyter-10.1515/aofo-2017-0016,fulltexts/gruyter/j/aofo.2017.44.issue-2/aofo-2017-0016/aofo-2017-0016.pdf,,National Licences: unibe,gruyter101515aofo20170016
(NATIONALLICENCE)gruyter-10.1515/tl-2017-0016,fulltexts/gruyter/j/thli.2017.43.issue-3-4/tl-2017-0016/tl-2017-0016.pdf,,National Licences: unige,gruyter101515tl20170016
(NATIONALLICENCE)gruyter-10.1515/jpm-2016-0050,fulltexts/gruyter/j/jpme.2017.45.issue-4/jpm-2016-0050/jpm-2016-0050.pdf,,National Licences: uzh,gruyter101515jpm20160050
(NATIONALLICENCE)gruyter-10.1515/acv-2015-0027,fulltexts/gruyter/j/acv.2017.10.issue-4/acv-2015-0027/acv-2015-0027.pdf,,National Licences: unifr,gruyter101515acv20150027
(NATIONALLICENCE)gruyter-10.1515/asia-2016-0054,fulltexts/gruyter/j/asia.2017.71.issue-1/asia-2016-0054/asia-2016-0054.pdf,,National Licences: unil,gruyter101515asia20160054
(NATIONALLICENCE)gruyter-10.1515/asia-2016-0046,fulltexts/gruyter/j/asia.2017.71.issue-1/asia-2016-0046/asia-2016-0046.pdf,,National Licences: uzh,gruyter101515asia20160046
(NATIONALLICENCE)gruyter-10.1515/olzg-2017-0127,fulltexts/gruyter/j/olzg.2017.112.issue-4-5/olzg-2017-0127/olzg-2017-0127.pdf,,National Licences: uzh,gruyter101515olzg20170127
