publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id
4OR	1619-4500	1614-2411	01.03.2005	3	1	01.12.2012	10	4	http://link.springer.com/journal/10288		10288		fulltext		Springer Berlin Heidelberg	Serial							
AAPS PharmSciTech		1530-9932	01.03.2005	6	1	01.12.2012	13	4	http://link.springer.com/journal/12249		12249		fulltext		Springer US	Serial							
ADHD Attention Deficit and Hyperactivity Disorders	1866-6116	1866-6647	01.05.2009	1	1	01.12.2012	4	4	http://link.springer.com/journal/12402		12402		fulltext		Springer Vienna	Serial							
AI & SOCIETY	0951-5666	1435-5655	01.07.1987	1	1	01.11.2012	27	4	http://link.springer.com/journal/146		146		fulltext		Springer London	Serial							
AIDS and Behavior	1090-7165	1573-3254	01.03.2005	9	1	01.11.2012	16	8	http://link.springer.com/journal/10461		10461		fulltext		Springer US	Serial							
ANNALI DELL'UNIVERSITA' DI FERRARA	0430-3202	1827-1510	01.12.1950	1	1	01.11.2012	58	2	http://link.springer.com/journal/11565		11565		fulltext		Springer Milan	Serial							
AStA Advances in Statistical Analysis	1863-8171	1863-818X	01.02.2005	89	1	01.10.2012	96	4	http://link.springer.com/journal/10182		10182		fulltext		Springer Berlin Heidelberg	Serial							
Abdominal Radiology	2366-004X	2366-0058	01.12.1976	1	1	01.12.2012	37	6	http://link.springer.com/journal/261		261		fulltext		Springer US	Serial							
Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg	0025-5858	1865-8784	01.12.1922	1	1	01.10.2012	82	2	http://link.springer.com/journal/12188		12188		fulltext		Springer Berlin Heidelberg	Serial							
Academic Psychiatry	1042-9670	1545-7230	01.03.1989	13	1	01.11.2012	36	6	http://link.springer.com/journal/40596		40596		fulltext		Springer International Publishing	Serial							
Academic Questions	0895-4852	1936-4709	01.03.1988	1	1	01.12.2012	25	4	http://link.springer.com/journal/12129		12129		fulltext		Springer US	Serial							
Accreditation and Quality Assurance	0949-1775	1432-0517	01.01.1996	1	1	01.12.2012	17	6	http://link.springer.com/journal/769		769		fulltext		Springer Berlin Heidelberg	Serial							
Acoustical Physics	1063-7710	1562-6865	01.02.2005	51	1	01.11.2012	58	6	http://link.springer.com/journal/11441		11441		fulltext		Pleiades Publishing	Serial							
Acta Analytica	0353-5150	1874-6349	01.03.2005	20	1	01.12.2012	27	4	http://link.springer.com/journal/12136		12136		fulltext		Springer Netherlands	Serial							
Acta Applicandae Mathematicae	0167-8019	1572-9036	01.03.1983	1	1	01.12.2012	122	1	http://link.springer.com/journal/10440		10440		fulltext		Springer Netherlands	Serial							
Acta Biotheoretica	0001-5342	1572-8358	01.12.1935	1	1	01.12.2012	60	4	http://link.springer.com/journal/10441		10441		fulltext		Springer Netherlands	Serial							
Acta Diabetologica	0940-5429	1432-5233	01.01.1964	1	1	01.12.2012	49	1	http://link.springer.com/journal/592		592		fulltext		Springer Milan	Serial							
Acta Geochimica	2096-0956	2365-7499	01.01.1982	1	1	01.10.2004	23	4	http://link.springer.com/journal/11631		11631		fulltext		Science Press	Serial							
Acta Geotechnica	1861-1125	1861-1133	01.05.2006	1	1	01.12.2012	7	4	http://link.springer.com/journal/11440		11440		fulltext		Springer Berlin Heidelberg	Serial							
Acta Informatica	0001-5903	1432-0525	01.03.1971	1	1	01.11.2012	49	7	http://link.springer.com/journal/236		236		fulltext		Springer Berlin Heidelberg	Serial							
Acta Mathematica	0001-5962	1871-2509	1882-12-01	1	1	01.12.2011	207	2	http://link.springer.com/journal/11511		11511		fulltext		Springer Netherlands	Serial							
Acta Mathematica Hungarica	0236-5294	1588-2632	01.03.1950	1	1	01.12.2012	137	4	http://link.springer.com/journal/10474		10474		fulltext		Springer Netherlands	Serial							
Acta Mathematica Sinica, English Series	1439-8516	1439-7617	01.03.1985	1	1	01.12.2012	28	12	http://link.springer.com/journal/10114		10114		fulltext		Institute of Mathematics, Chinese Academy of Sciences and Chinese Mathematical Society	Serial							
Acta Mathematicae Applicatae Sinica, English Series	0168-9673	1618-3932	01.03.1984	1	1	01.10.2012	28	4	http://link.springer.com/journal/10255		10255		fulltext		Springer Berlin Heidelberg	Serial							
Acta Mechanica	0001-5970	1619-6937	01.03.1965	1	1	01.12.2012	223	12	http://link.springer.com/journal/707		707		fulltext		Springer Vienna	Serial							
Acta Mechanica Sinica	0567-7718	1614-3116	01.02.2005	21	1	01.12.2012	28	6	http://link.springer.com/journal/10409		10409		fulltext		"The Chinese Society of Theoretical and Applied Mechanics; Institute of Mechanics, Chinese Academy of Sciences"	Serial							
Acta Neurochirurgica	0001-6268	0942-0940	01.02.1950	1	1	01.12.2012	154	12	http://link.springer.com/journal/701		701		fulltext		Springer Vienna	Serial							
Acta Neuropathologica	0001-6322	1432-0533	01.01.1961	1	1	01.12.2012	124	6	http://link.springer.com/journal/401		401		fulltext		Springer Berlin Heidelberg	Serial							
Acta Oceanologica Sinica	0253-505X	1869-1099	01.01.2010	29	1	01.11.2012	31	6	http://link.springer.com/journal/13131		13131		fulltext		The Chinese Society of Oceanography	Serial							
Acta Physica Hungarica	0231-4428		01.01.1983	54	1	31.12.1994	75	1	http://link.springer.com/journal/12242		12242		fulltext		Springer-Verlag	Serial							
Acta Physica Hungarica B) Quantum Electronics	1589-9535		01.08.2005	23	1	02.12.2009	26	1	http://link.springer.com/journal/12657		12657		fulltext		Springer Berlin Heidelberg	Serial							
Acta Physica Hungarica Series A, Heavy Ion Physics	1219-7580	1588-2675	01.01.1995	1	1	31.12.1996		4	http://link.springer.com/journal/12656		12656		fulltext		Springer-Verlag	Serial							
Acta Physiologiae Plantarum	0137-5881	1861-1664	01.03.2005	27	1	01.11.2012	34	6	http://link.springer.com/journal/11738		11738		fulltext		Springer Berlin Heidelberg	Serial							
Acta physica Academiae Scientiarum Hungaricae	0001-6705		01.06.1951	1	1	01.10.1982	53	3	http://link.springer.com/journal/12658		12658		fulltext		Springer Berlin Heidelberg	Serial							
Administration and Policy in Mental Health and Mental Health Services Research	0894-587X	1573-3289	01.09.1973	1	1	01.11.2012	39	6	http://link.springer.com/journal/10488		10488		fulltext		Springer US	Serial							
Adsorption	0929-5607	1572-8757	01.03.1995	1	1	01.12.2012	18	5	http://link.springer.com/journal/10450		10450		fulltext		Springer US	Serial							
Advances in Applied Clifford Algebras	0188-7009	1661-4909	01.03.2005	15	1	01.12.2012	22	4	http://link.springer.com/journal/6		6		fulltext		Springer International Publishing	Serial							
Advances in Atmospheric Sciences	0256-1530	1861-9533	01.05.1984	1	1	01.12.2004	21	6	http://link.springer.com/journal/376		376		fulltext		Science Press	Serial							
Advances in Computational Mathematics	1019-7168	1572-9044	01.02.1993	1	1	01.11.2012	37	4	http://link.springer.com/journal/10444		10444		fulltext		Springer US	Serial							
Advances in Contraception	0267-4874	1573-7195	01.01.1985	1	1	31.12.1996		4	http://link.springer.com/journal/10451		10451		fulltext		Kluwer Academic Publishers	Serial							
Advances in Health Sciences Education	1382-4996	1573-1677	01.01.1996	1	1	01.12.2012	17	5	http://link.springer.com/journal/10459		10459		fulltext		Springer Netherlands	Serial							
Advances in Therapy	0741-238X	1865-8652	01.01.2005	22	1	01.12.2012	29	12	http://link.springer.com/journal/12325		12325		fulltext		Springer Healthcare	Serial							
Aequationes mathematicae	0001-9054	1420-8903	01.02.1968	1	1	01.12.2012	84	3	http://link.springer.com/journal/10		10		fulltext		Springer International Publishing	Serial							
Aerobiologia	0393-5965	1573-3025	01.12.1985	1	1	01.12.2012	28	4	http://link.springer.com/journal/10453		10453		fulltext		Springer Netherlands	Serial							
Aesthetic Plastic Surgery	0364-216X	1432-5241	01.12.1976	1	1	01.12.2012	36	6	http://link.springer.com/journal/266		266		fulltext		Springer US	Serial							
African Archaeological Review	0263-0338	1572-9842	01.12.1983	1	1	01.12.2012	29	4	http://link.springer.com/journal/10437		10437		fulltext		Springer US	Serial							
Afrika Matematika	1012-9405	2190-7668	01.04.2011	22	1	01.09.2012	23	2	http://link.springer.com/journal/13370		13370		fulltext		Springer Berlin Heidelberg	Serial							
Ageing International	0163-5158	1936-606X	01.03.1974	1	2	01.12.2004	29	4	http://link.springer.com/journal/12126		12126		fulltext		Springer US	Serial							
Aging Clinical and Experimental Research		1720-8319	01.09.1989	1	1	01.12.2012	24	6	http://link.springer.com/journal/40520		40520		fulltext		Springer International Publishing	Serial							
Agriculture and Human Values	0889-048X	1572-8366	01.03.1984	1	2	01.12.2012	29	4	http://link.springer.com/journal/10460		10460		fulltext		Springer Netherlands	Serial							
Agroforestry Systems	0167-4366	1572-9680	01.03.1982	1	1	01.11.2012	86	3	http://link.springer.com/journal/10457		10457		fulltext		Springer Netherlands	Serial							
Agronomy for Sustainable Development	1774-0746	1773-0155	01.03.2007	27	1	01.10.2012	32	4	http://link.springer.com/journal/13593		13593		fulltext		Springer Paris	Serial							
Air Quality, Atmosphere & Health	1873-9318	1873-9326	01.06.2008	1	1	01.12.2012	5	4	http://link.springer.com/journal/11869		11869		fulltext		Springer Netherlands	Serial							
Algebra and Logic	0002-5232	1573-8302	01.01.1968	7	1	01.11.2012	51	5	http://link.springer.com/journal/10469		10469		fulltext		Springer US	Serial							
Algebra universalis	0002-5240	1420-8911	01.12.1971	1	1	01.12.2012	68	3	http://link.springer.com/journal/12		12		fulltext		Springer International Publishing	Serial							
Algebras and Representation Theory	1386-923X	1572-9079	01.03.2005	8	1	01.12.2012	15	6	http://link.springer.com/journal/10468		10468		fulltext		Springer Netherlands	Serial							
Algorithmica	0178-4617	1432-0541	01.11.1986	1	1	01.12.2012	64	4	http://link.springer.com/journal/453		453		fulltext		Springer US	Serial							
Allergo Journal	0941-8849	2195-6405	01.02.2005	14	1	01.12.2012	21	8	http://link.springer.com/journal/15007		15007		fulltext		Springer Medizin	Serial							
Alpine Botany	1664-2201	1664-221X	01.06.2005	115	1	01.11.2012	122	2	http://link.springer.com/journal/35		35		fulltext		Springer International Publishing	Serial							
Ambio	0044-7447	1654-7209	01.02.2010	39	1	01.12.2012	41	8	http://link.springer.com/journal/13280		13280		fulltext		Springer Netherlands	Serial							
American Journal of Criminal Justice	1066-2316	1936-1351	01.06.1975	1	1	01.09.2004	29	1	http://link.springer.com/journal/12103		12103		fulltext		Springer US	Serial							
American Journal of Dance Therapy	0146-3721	1573-3262	01.03.1977	1	1	01.12.2012	34	2	http://link.springer.com/journal/10465		10465		fulltext		Springer US	Serial							
American Journal of Potato Research	1099-209X	1874-9380	01.11.1923	1	1	01.12.2012	89	6	http://link.springer.com/journal/12230		12230		fulltext		Springer US	Serial							
Amino Acids	0939-4451	1438-2199	01.02.1991	1	1	01.12.2012	43	6	http://link.springer.com/journal/726		726		fulltext		Springer Vienna	Serial							
Analog Integrated Circuits and Signal Processing	0925-1030	1573-1979	01.03.1991	1	1	01.12.2012	73	3	http://link.springer.com/journal/10470		10470		fulltext		Springer US	Serial							
Analysis Mathematica	0133-3852	1588-273X	01.03.1975	1	1	01.12.2012	38	4	http://link.springer.com/journal/10476		10476		fulltext		Springer Netherlands	Serial							
Analytical and Bioanalytical Chemistry	1618-2642	1618-2650	1862-12-01	1	1	01.12.2012	404	10	http://link.springer.com/journal/216		216		fulltext		Springer Berlin Heidelberg	Serial							
Anatomical Science International	1447-6959	1447-073X	01.03.2005	80	1	01.12.2012	87	4	http://link.springer.com/journal/12565		12565		fulltext		Springer Japan	Serial							
Angiogenesis	0969-6970	1573-7209	01.03.2005	8	1	01.12.2012	15	4	http://link.springer.com/journal/10456		10456		fulltext		Springer Netherlands	Serial							
Animal Cognition	1435-9448	1435-9456	01.01.2005	8	1	01.11.2012	15	6	http://link.springer.com/journal/10071		10071		fulltext		Springer Berlin Heidelberg	Serial							
Annalen der Philosophie	0165-0106	1866-6167	01.01.1919	1	1	31.12.1921	3	1	http://link.springer.com/journal/12377		12377		fulltext		Springer-Verlag	Serial							
Annalen der Philosophie und philosophischen Kritik	1866-6175	1866-6175	01.01.1924	4	1	31.12.1929	8	1	http://link.springer.com/journal/12375		12375		fulltext		Springer-Verlag	Serial							
Annales Henri Poincaré	1424-0637	1424-0661	01.02.2005	6	1	01.12.2012	13	8	http://link.springer.com/journal/23		23		fulltext		Springer International Publishing	Serial							
Annali di Matematica Pura ed Applicata (1858-1865)		0373-3114	1858-01-01	1	1	1865-12-31	7	1	http://link.springer.com/journal/40768		40768		fulltext		Springer Berlin Heidelberg	Serial							
Annali di Matematica Pura ed Applicata (1867-1897)		0373-3114	1867-01-01	1	1	1897-12-31	26	1	http://link.springer.com/journal/40769		40769		fulltext		Springer Berlin Heidelberg	Serial							
Annali di Matematica Pura ed Applicata (1898-1922)		0373-3114	1898-01-01	1	1	31.12.1922	31	1	http://link.springer.com/journal/40770		40770		fulltext		Springer Berlin Heidelberg	Serial							
Annali di Matematica Pura ed Applicata (1923 -)	0373-3114	1618-1891	01.12.1924	1	1	01.12.2012	191	4	http://link.springer.com/journal/10231		10231		fulltext		Springer Berlin Heidelberg	Serial							
Annals of Behavioral Medicine	0883-6612	1532-4796	01.02.2005	29	1	01.12.2012	44	3	http://link.springer.com/journal/12160		12160		fulltext		Springer US	Serial							
Annals of Biomedical Engineering	0090-6964	1573-9686	01.09.1972	1	1	01.12.2012	40	12	http://link.springer.com/journal/10439		10439		fulltext		Springer US	Serial							
Annals of Combinatorics	0218-0006	0219-3094	01.01.2005	8	4	01.12.2012	16	4	http://link.springer.com/journal/26		26		fulltext		Springer International Publishing	Serial							
Annals of Dyslexia	0736-9387	1934-7243	01.12.1955	5	1	01.10.2012	62	3	http://link.springer.com/journal/11881		11881		fulltext		Springer US	Serial							
Annals of Finance	1614-2446	1614-2454	01.01.2005	1	1	01.11.2012	8	4	http://link.springer.com/journal/10436		10436		fulltext		Springer Berlin Heidelberg	Serial							
Annals of Forest Science	1286-4560	1297-966X	01.01.2007	64	5	01.11.2012	69	8	http://link.springer.com/journal/13595		13595		fulltext		Springer Paris	Serial							
Annals of Global Analysis and Geometry	0232-704X	1572-9060	01.02.1983	1	1	01.12.2012	42	4	http://link.springer.com/journal/10455		10455		fulltext		Springer Netherlands	Serial							
Annals of Hematology	0939-5555	1432-0584	01.03.1955	1	1	01.12.2012	91	12	http://link.springer.com/journal/277		277		fulltext		Springer Berlin Heidelberg	Serial							
Annals of Mathematics and Artificial Intelligence	1012-2443	1573-7470	01.03.1990	2	1	01.12.2012	66	1	http://link.springer.com/journal/10472		10472		fulltext		Springer International Publishing	Serial							
Annals of Nuclear Medicine	0914-7187	1864-6433	01.12.1987	1	1	01.12.2012	26	10	http://link.springer.com/journal/12149		12149		fulltext		Springer Japan	Serial							
Annals of Operations Research	0254-5330	1572-9338	01.02.1984	1	1	01.12.2012	201	1	http://link.springer.com/journal/10479		10479		fulltext		Springer US	Serial							
Annals of Software Engineering	1022-7091	1573-7489	01.01.1995	1	1	31.12.1996		1	http://link.springer.com/journal/10480		10480		fulltext		Kluwer Academic Publishers	Serial							
Annals of Surgical Oncology	1068-9265	1534-4681	01.01.1994	1	1	01.12.2012	19	13	http://link.springer.com/journal/10434		10434		fulltext		Springer International Publishing	Serial							
Annals of Telecommunications	0003-4347	1958-9395	01.01.1946	1	1	01.12.2012	67	11	http://link.springer.com/journal/12243		12243		fulltext		Springer Paris	Serial							
Annals of the Institute of Statistical Mathematics	0020-3157	1572-9052	01.03.1949	1	1	01.12.2012	64	6	http://link.springer.com/journal/10463		10463		fulltext		Springer Japan	Serial							
Antonie van Leeuwenhoek	0003-6072	1572-9699	01.12.1934	1	1	01.11.2012	102	4	http://link.springer.com/journal/10482		10482		fulltext		Springer International Publishing	Serial							
Apidologie	0044-8435	1297-9678	01.01.2007	38	1	01.11.2012	43	6	http://link.springer.com/journal/13592		13592		fulltext		Springer Paris	Serial							
Apoptosis	1360-8185	1573-675X	01.08.1996	1	1	01.12.2012	17	12	http://link.springer.com/journal/10495		10495		fulltext		Springer US	Serial							
Applicable Algebra in Engineering, Communication and Computing	0938-1279	1432-0622	01.03.1990	1	1	01.12.2012	23	5	http://link.springer.com/journal/200		200		fulltext		Springer Berlin Heidelberg	Serial							
Applications of Mathematics	0862-7940	1572-9109	01.02.2005	50	1	01.12.2012	57	6	http://link.springer.com/journal/10492		10492		fulltext		Springer Berlin Heidelberg	Serial							
Applied Biochemistry and Biotechnology	0273-2289	1559-0291	01.03.1976	1	1	01.12.2012	168	8	http://link.springer.com/journal/12010		12010		fulltext		Springer US	Serial							
Applied Categorical Structures	0927-2852	1572-9095	01.03.1993	1	1	01.12.2012	20	6	http://link.springer.com/journal/10485		10485		fulltext		Springer Netherlands	Serial							
Applied Composite Materials	0929-189X	1573-4897	01.01.1994	1	1	01.12.2012	19	6	http://link.springer.com/journal/10443		10443		fulltext		Springer Netherlands	Serial							
Applied Entomology and Zoology	0003-6862	1347-605X	01.02.2011	46	1	01.11.2012	47	4	http://link.springer.com/journal/13355		13355		fulltext		Springer Japan	Serial							
Applied Intelligence	0924-669X	1573-7497	01.07.1991	1	1	01.12.2012	37	4	http://link.springer.com/journal/10489		10489		fulltext		Springer US	Serial							
Applied Magnetic Resonance	0937-9347	1613-7507	01.06.1990	1	1	01.12.2012	43	4	http://link.springer.com/journal/723		723		fulltext		Springer Vienna	Serial							
Applied Mathematics & Optimization	0095-4616	1432-0606	01.03.1974	1	1	01.12.2012	66	3	http://link.springer.com/journal/245		245		fulltext		Springer US	Serial							
Applied Mathematics and Mechanics	0253-4827	1573-2754	01.11.1980	1	1	01.12.2012	33	12	http://link.springer.com/journal/10483		10483		fulltext		Shanghai University	Serial							
Applied Microbiology and Biotechnology	0175-7598	1432-0614	01.03.1975	2	1	01.12.2012	96	5	http://link.springer.com/journal/253		253		fulltext		Springer Berlin Heidelberg	Serial							
Applied Physics A	0947-8396	1432-0630	01.01.1973	1	1	01.12.2012	109	4	http://link.springer.com/journal/339		339		fulltext		Springer Berlin Heidelberg	Serial							
Applied Physics B	0946-2171	1432-0649	01.09.1981	26	1	01.12.2012	109	4	http://link.springer.com/journal/340		340		fulltext		Springer Berlin Heidelberg	Serial							
Applied Psychophysiology and Biofeedback	1090-0586	1573-3270	01.03.1976	1	1	01.12.2012	37	4	http://link.springer.com/journal/10484		10484		fulltext		Springer US	Serial							
Applied Research in Quality of Life	1871-2584	1871-2576	01.05.2006	1	1	01.12.2012	7	4	http://link.springer.com/journal/11482		11482		fulltext		Springer Netherlands	Serial							
Applied Scientific Research, Section B	0365-7140		01.01.1950	1	1	31.12.1965	12	5	http://link.springer.com/journal/12380		12380		fulltext		Springer Netherlands	Serial							
Applied Spatial Analysis and Policy	1874-463X	1874-4621	01.04.2008	1	1	01.12.2012	5	4	http://link.springer.com/journal/12061		12061		fulltext		Springer Netherlands	Serial							
Aquaculture International	0967-6120	1573-143X	01.09.1993	1	1	01.12.2012	20	6	http://link.springer.com/journal/10499		10499		fulltext		Springer International Publishing	Serial							
Aquatic Ecology	1386-2588	1573-5125	01.06.1968	2	2	01.12.2012	46	4	http://link.springer.com/journal/10452		10452		fulltext		Springer Netherlands	Serial							
Aquatic Geochemistry	1380-6165	1573-1421	01.03.1995	1	1	01.11.2012	18	6	http://link.springer.com/journal/10498		10498		fulltext		Springer Netherlands	Serial							
Aquatic Sciences	1015-1621	1420-9055	01.03.1920	1	1	01.10.2012	74	4	http://link.springer.com/journal/27		27		fulltext		Springer International Publishing	Serial							
Archiv der Mathematik	0003-889X	1420-8938	01.01.1948	1	1	01.12.2012	99	6	http://link.springer.com/journal/13		13		fulltext		Springer International Publishing	Serial							
Archiv für mikroskopische Anatomie	0176-7364		1865-01-01	1	1	31.12.1923	97	4	http://link.springer.com/journal/12361		12361		fulltext		Springer-Verlag	Serial							
Archival Science	1389-0166	1573-7519	01.03.2005	5	1	01.12.2012	12	4	http://link.springer.com/journal/10502		10502		fulltext		Springer Netherlands	Serial							
Archive for History of Exact Sciences	0003-9519	1432-0657	01.08.1960	1	1	01.11.2012	66	6	http://link.springer.com/journal/407		407		fulltext		Springer Berlin Heidelberg	Serial							
Archive for Mathematical Logic	0933-5846	1432-0665	01.09.1950	1	1	01.11.2012	51	7	http://link.springer.com/journal/153		153		fulltext		Springer Berlin Heidelberg	Serial							
Archive for Rational Mechanics and Analysis	0003-9527	1432-0673	01.01.1957	1	1	01.12.2012	206	3	http://link.springer.com/journal/205		205		fulltext		Springer Berlin Heidelberg	Serial							
Archive of Applied Mechanics	0939-1533	1432-0681	01.12.1929	1	1	01.12.2012	82	12	http://link.springer.com/journal/419		419		fulltext		Springer Berlin Heidelberg	Serial							
Archives and Museum Informatics	1042-1467	1573-7500	01.01.1987	1	1	31.12.1996	10	4	http://link.springer.com/journal/10505		10505		fulltext		Kluwer Academic Publishers	Serial							
Archives of Computational Methods in Engineering	1134-3060	1886-1784	01.03.1994	1	1	01.12.2004	11	4	http://link.springer.com/journal/11831		11831		fulltext		Springer Netherlands	Serial							
Archives of Dermatological Research	0340-3696	1432-069X	1869-03-01	1	1	01.12.2012	304	10	http://link.springer.com/journal/403		403		fulltext		Springer Berlin Heidelberg	Serial							
Archives of Environmental Contamination and Toxicology	0090-4341	1432-0703	01.02.1973	1	1	01.11.2012	63	4	http://link.springer.com/journal/244		244		fulltext		Springer US	Serial							
Archives of Gynecology and Obstetrics	0932-0067	1432-0711	1870-02-01	1	1	01.12.2012	286	6	http://link.springer.com/journal/404		404		fulltext		Springer Berlin Heidelberg	Serial							
Archives of Microbiology	0302-8933	1432-072X	01.01.1930	1	1	01.12.2012	194	12	http://link.springer.com/journal/203		203		fulltext		Springer Berlin Heidelberg	Serial							
Archives of Orthopaedic and Trauma Surgery	0936-8051	1434-3916	01.02.1903	1	1	01.12.2012	132	12	http://link.springer.com/journal/402		402		fulltext		Springer Berlin Heidelberg	Serial							
Archives of Osteoporosis	1862-3522	1862-3514	01.12.2006	1	1	01.12.2012	7	1	http://link.springer.com/journal/11657		11657		fulltext		Springer London	Serial							
Archives of Pharmacal Research	0253-6269	1976-3786	01.12.1978	1	1	01.12.2004	27	12	http://link.springer.com/journal/12272		12272		fulltext		Pharmaceutical Society of Korea	Serial							
Archives of Sexual Behavior	0004-0002	1573-2800	01.03.1971	1	1	01.12.2012	41	6	http://link.springer.com/journal/10508		10508		fulltext		Springer US	Serial							
Archives of Toxicology	0340-5761	1432-0738	01.12.1930	1	1	01.12.2012	86	12	http://link.springer.com/journal/204		204		fulltext		Springer Berlin Heidelberg	Serial							
Archives of Virology	0304-8608	1432-8798	01.02.1939	1	1	01.12.2012	157	12	http://link.springer.com/journal/705		705		fulltext		Springer Vienna	Serial							
Archives of Women's Mental Health	1434-1816	1435-1102	01.05.2005	8	1	01.12.2012	15	6	http://link.springer.com/journal/737		737		fulltext		Springer Vienna	Serial							
Archivum Immunologiae et Therapiae Experimentalis	0004-069X	1661-4917	01.06.1978	3	2	01.12.2012	60	6	http://link.springer.com/journal/5		5		fulltext		Springer International Publishing	Serial							
Argumentation	0920-427X	1572-8374	01.03.1987	1	1	01.11.2012	26	4	http://link.springer.com/journal/10503		10503		fulltext		Springer Netherlands	Serial							
Arkiv för Matematik	0004-2080	1871-2487	01.09.1949	1	1	01.10.2011	49	2	http://link.springer.com/journal/11512		11512		fulltext		Springer Netherlands	Serial							
Arthropod-Plant Interactions	1872-8855	1872-8847	01.03.2007	1	1	01.12.2012	6	4	http://link.springer.com/journal/11829		11829		fulltext		Springer Netherlands	Serial							
Arthroskopie	0933-7946	1434-3924	01.02.2005	18	1	01.11.2012	25	4	http://link.springer.com/journal/142		142		fulltext		Springer Medizin	Serial							
Artificial Intelligence Review	0269-2821	1573-7462	01.03.1986	1	1	01.12.2012	38	4	http://link.springer.com/journal/10462		10462		fulltext		Springer Netherlands	Serial							
Artificial Intelligence and Law	0924-8463	1572-8382	01.03.1992	1	1	01.11.2012	20	4	http://link.springer.com/journal/10506		10506		fulltext		Springer Netherlands	Serial							
Artificial Life and Robotics	1433-5298	1614-7456	01.04.2005	9	1	01.12.2012	17	2	http://link.springer.com/journal/10015		10015		fulltext		Springer Japan	Serial							
Asia Europe Journal	1610-2932	1612-1031	01.02.2005	3	1	01.12.2012	10	4	http://link.springer.com/journal/10308		10308		fulltext		Springer Berlin Heidelberg	Serial							
Asia Pacific Journal of Management	0217-4561	1572-9958	01.09.1983	1	1	01.12.2012	29	4	http://link.springer.com/journal/10490		10490		fulltext		Springer US	Serial							
Asia-Pacific Financial Markets	1387-2834	1573-6946	01.03.1994	1	1	01.11.2012	19	4	http://link.springer.com/journal/10690		10690		fulltext		Springer Japan	Serial							
Asia-Pacific Journal of Atmospheric Sciences	1976-7633	1976-7951	01.02.2010	46	1	01.11.2012	48	4	http://link.springer.com/journal/13143		13143		fulltext		Korean Meteorological Society	Serial							
Asian Journal of Criminology	1871-0131	1871-014X	01.06.2006	1	1	01.12.2012	7	4	http://link.springer.com/journal/11417		11417		fulltext		Springer Netherlands	Serial							
Astronomy Letters	1063-7737	1562-6873	01.01.2005	31	1	01.12.2012	38	12	http://link.springer.com/journal/11443		11443		fulltext		Pleiades Publishing	Serial							
Astronomy Reports	1063-7729	1562-6881	01.01.2005	49	1	01.12.2012	56	12	http://link.springer.com/journal/11444		11444		fulltext		Pleiades Publishing	Serial							
Astrophysics	0571-7256	1573-8191	01.01.1965	1	1	01.12.2012	55	4	http://link.springer.com/journal/10511		10511		fulltext		Springer US	Serial							
Astrophysics and Space Science	0004-640X	1572-946X	01.01.1968	1	1	01.12.2012	342	2	http://link.springer.com/journal/10509		10509		fulltext		Springer Netherlands	Serial							
Atlantic Economic Journal	0197-4254	1573-9678	01.11.1973	1	1	01.12.2012	40	4	http://link.springer.com/journal/11293		11293		fulltext		Springer US	Serial							
Atomic Energy	1063-4258	1573-8205	01.01.1956	1	1	01.12.2012	113	2	http://link.springer.com/journal/10512		10512		fulltext		Springer US	Serial							
Attention, Perception, & Psychophysics	1943-3921	1943-393X	01.01.2005	67	1	01.11.2012	74	8	http://link.springer.com/journal/13414		13414		fulltext		Springer US	Serial							
Australasian Physical & Engineering Sciences in Medicine	0158-9938	1879-5447	01.03.2005	28	1	01.12.2012	35	4	http://link.springer.com/journal/13246		13246		fulltext		Springer Netherlands	Serial							
Australasian Plant Pathology	0815-3191	1448-6032	01.03.1972	1	1	01.12.2004	33	4	http://link.springer.com/journal/13313		13313		fulltext		Springer Netherlands	Serial							
Automated Software Engineering	0928-8910	1573-7535	01.03.1994	1	1	01.12.2012	19	4	http://link.springer.com/journal/10515		10515		fulltext		Springer US	Serial							
Autonomous Agents and Multi-Agent Systems	1387-2532	1573-7454	01.01.2005	10	1	01.11.2012	25	3	http://link.springer.com/journal/10458		10458		fulltext		Springer US	Serial							
Autonomous Robots	0929-5593	1573-7527	01.03.1994	1	1	01.11.2012	33	4	http://link.springer.com/journal/10514		10514		fulltext		Springer US	Serial							
Axiomathes	1122-1151	1572-8390	01.04.1993	4	1	01.12.2012	22	4	http://link.springer.com/journal/10516		10516		fulltext		Springer Netherlands	Serial							
BHM Berg- und Hüttenmännische Monatshefte	0005-8912	1613-7531	01.01.2005	150	1	01.12.2012	157	12	http://link.springer.com/journal/501		501		fulltext		Springer Vienna	Serial							
BIOspektrum	0947-0867	1868-6249	01.01.2011	17	1	01.11.2012	18	7	http://link.springer.com/journal/12268		12268		fulltext		Springer Berlin Heidelberg	Serial							
BIT Numerical Mathematics	0006-3835	1572-9125	01.03.1961	1	1	01.12.2012	52	4	http://link.springer.com/journal/10543		10543		fulltext		Springer Netherlands	Serial							
