publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id
European Radiology Supplements	1613-3749	1613-3757	01.01.2004	14	1	31.12.2008	18	5	http://link.springer.com/journal/10406		10406		fulltext		Springer-Verlag	Serial							
European Spine Journal	0940-6719	1432-0932	01.06.1992	1	1	01.12.2012	21	12	http://link.springer.com/journal/586		586		fulltext		Springer Berlin Heidelberg	Serial							
European Surgery	1682-8631	1682-4016	01.01.1969	1	1	01.12.2012	44	6	http://link.springer.com/journal/10353		10353		fulltext		Springer Vienna	Serial							
Evolutionary Biology	0071-3260	1934-2845	01.06.2007	34	1	01.12.2012	39	4	http://link.springer.com/journal/11692		11692		fulltext		Springer US	Serial							
Evolutionary Ecology	0269-7653	1573-8477	01.01.1987	1	1	01.11.2012	26	6	http://link.springer.com/journal/10682		10682		fulltext		Springer International Publishing	Serial							
Evolutionary Intelligence	1864-5909	1864-5917	01.03.2008	1	1	01.12.2012	5	4	http://link.springer.com/journal/12065		12065		fulltext		Springer Berlin Heidelberg	Serial							
Experimental Astronomy	0922-6435	1572-9508	01.01.1989	1	1	01.11.2012	34	3	http://link.springer.com/journal/10686		10686		fulltext		Springer Netherlands	Serial							
Experimental Brain Research	0014-4819	1432-1106	01.02.1966	1	2	01.12.2012	223	4	http://link.springer.com/journal/221		221		fulltext		Springer Berlin Heidelberg	Serial							
Experimental Economics	1386-4157	1573-6938	01.04.2005	8	1	01.12.2012	15	4	http://link.springer.com/journal/10683		10683		fulltext		Springer US	Serial							
Experimental Mechanics	0014-4851	1741-2765	01.01.1961	1	1	01.11.2012	52	9	http://link.springer.com/journal/11340		11340		fulltext		Springer US	Serial							
Experimental and Applied Acarology	0168-8162	1572-9702	01.03.1985	1	1	01.12.2012	58	4	http://link.springer.com/journal/10493		10493		fulltext		Springer International Publishing	Serial							
Experiments in Fluids	0723-4864	1432-1114	01.03.1983	1	1	30.12.2012	54	1	http://link.springer.com/journal/348		348		fulltext		Springer Berlin Heidelberg	Serial							
Exposure and Health	2451-9766	2451-9685	01.02.2009	1	1	01.12.2012	4	4	http://link.springer.com/journal/12403		12403		fulltext		Springer Netherlands	Serial							
Extremes	1386-1999	1572-915X	11.01.2005	7	1	01.12.2012	15	4	http://link.springer.com/journal/10687		10687		fulltext		Springer US	Serial							
Extremophiles	1431-0651	1433-4909	01.02.2005	9	1	01.11.2012	16	6	http://link.springer.com/journal/792		792		fulltext		Springer Japan	Serial							
Facies	0172-9179	1612-4820	01.12.1979	1	1	01.10.2012	58	4	http://link.springer.com/journal/10347		10347		fulltext		Springer Berlin Heidelberg	Serial							
Familial Cancer	1389-9600	1573-7292	01.03.2005	4	1	01.12.2012	11	4	http://link.springer.com/journal/10689		10689		fulltext		Springer Netherlands	Serial							
Feminist Legal Studies	0966-3622	1572-8455	01.03.1993	1	1	01.11.2012	20	3	http://link.springer.com/journal/10691		10691		fulltext		Springer Netherlands	Serial							
Few-Body Systems	0177-7963	1432-5411	01.03.1986	1	1	01.10.2012	53	3	http://link.springer.com/journal/601		601		fulltext		Springer Vienna	Serial							
Fibers and Polymers	1229-9197	1875-0052	01.03.2005	6	1	01.12.2012	13	10	http://link.springer.com/journal/12221		12221		fulltext		The Korean Fiber Society	Serial							
Fibre Chemistry	0015-0541	1573-8493	01.01.1969	1	1	01.11.2012	44	4	http://link.springer.com/journal/10692		10692		fulltext		Springer US	Serial							
Finance and Stochastics	0949-2984	1432-1122	01.01.2005	9	1	01.10.2012	16	4	http://link.springer.com/journal/780		780		fulltext		Springer Berlin Heidelberg	Serial							
Financial Markets and Portfolio Management	1934-4554	2373-8529	01.06.2005	19	1	01.12.2012	26	4	http://link.springer.com/journal/11408		11408		fulltext		Springer US	Serial							
Fire Technology	0015-2684	1572-8099	01.02.1965	1	1	01.10.2012	48	4	http://link.springer.com/journal/10694		10694		fulltext		Springer US	Serial							
Fish Physiology and Biochemistry	0920-1742	1573-5168	01.01.1986	1	1	01.12.2012	38	6	http://link.springer.com/journal/10695		10695		fulltext		Springer Netherlands	Serial							
Flexible Services and Manufacturing Journal	1936-6582	1936-6590	01.09.1988	1	1	01.12.2012	24	4	http://link.springer.com/journal/10696		10696		fulltext		Springer US	Serial							
Flow, Turbulence and Combustion	1386-6184	1573-1987	01.12.1949	1	1	01.12.2012	89	4	http://link.springer.com/journal/10494		10494		fulltext		Springer Netherlands	Serial							
Fluid Dynamics	0015-4628	1573-8507	01.01.1966	1	1	01.11.2012	47	6	http://link.springer.com/journal/10697		10697		fulltext		Pleiades Publishing	Serial							
Folia Geobotanica	1211-9520	1874-9348	01.06.1966	1	1	01.12.2012	47	4	http://link.springer.com/journal/12224		12224		fulltext		Springer Netherlands	Serial							
Folia Microbiologica	0015-5632	1874-9356	01.01.1956	1	1	01.11.2012	57	6	http://link.springer.com/journal/12223		12223		fulltext		Springer Netherlands	Serial							
Food Analytical Methods	1936-9751	1936-976X	29.12.2007	1	1	01.12.2012	5	6	http://link.springer.com/journal/12161		12161		fulltext		Springer US	Serial							
Food Biophysics	1557-1858	1557-1866	18.02.2006	1	1	01.12.2012	7	4	http://link.springer.com/journal/11483		11483		fulltext		Springer US	Serial							
Food Engineering Reviews	1866-7910	1866-7929	07.04.2009	1	1	01.12.2012	4	4	http://link.springer.com/journal/12393		12393		fulltext		Springer US	Serial							
Food Science and Biotechnology	1226-7708	2092-6456	01.02.2010	19	1	01.12.2012	21	6	http://link.springer.com/journal/10068		10068		fulltext		The Korean Society of Food Science and Technology	Serial							
Food Security	1876-4517	1876-4525	24.01.2009	1	1	01.12.2012	4	4	http://link.springer.com/journal/12571		12571		fulltext		Springer Netherlands	Serial							
Food and Bioprocess Technology	1935-5130	1935-5149	22.08.2007	1	3	01.11.2012	5	8	http://link.springer.com/journal/11947		11947		fulltext		Springer US	Serial							
Food and Environmental Virology	1867-0334	1867-0342	03.12.2008	1	1	01.12.2012	4	4	http://link.springer.com/journal/12560		12560		fulltext		Springer US	Serial							
Forensic Science, Medicine and Pathology	1547-769X	1556-2891	01.03.2005	1	1	01.12.2012	8	4	http://link.springer.com/journal/12024		12024		fulltext		Springer US	Serial							
Forensic Toxicology	1860-8965	1860-8973	01.07.2006	24	1	01.07.2012	30	2	http://link.springer.com/journal/11419		11419		fulltext		Springer Japan	Serial							
Forensische Psychiatrie, Psychologie, Kriminologie	1862-7072	1862-7080	01.02.2007	1	2	01.11.2012	6	4	http://link.springer.com/journal/11757		11757		fulltext		Springer Berlin Heidelberg	Serial							
Formal Aspects of Computing	0934-5043	1433-299X	01.03.1989	1	1	01.07.2012	24	4	http://link.springer.com/journal/165		165		fulltext		Springer London	Serial							
Formal Methods in System Design	0925-9856	1572-8102	01.07.1992	1	1	01.12.2012	41	3	http://link.springer.com/journal/10703		10703		fulltext		Springer US	Serial							
Forschung im Ingenieurwesen	0015-7899	1434-0860	01.01.1930	1	1	01.12.2012	76	3	http://link.springer.com/journal/10010		10010		fulltext		Springer Berlin Heidelberg	Serial							
Fortschrittsberichte über Kolloide und Polymere	0071-8017		01.01.1910	1	1	31.12.1971	55	1	http://link.springer.com/journal/12277		12277		fulltext		Springer-Verlag	Serial							
Forum der Psychoanalyse	0178-7667	1437-0751	01.03.2005	21	1	01.12.2012	28	4	http://link.springer.com/journal/451		451		fulltext		Springer Medizin	Serial							
Foundations of Chemistry	1386-4238	1572-8463	01.01.2005	7	1	01.10.2012	14	3	http://link.springer.com/journal/10698		10698		fulltext		Springer Netherlands	Serial							
Foundations of Computational Mathematics	1615-3375	1615-3383	01.02.2005	5	1	01.12.2012	12	6	http://link.springer.com/journal/10208		10208		fulltext		Springer US	Serial							
Foundations of Physics	0015-9018	1572-9516	01.03.1970	1	1	01.12.2012	42	12	http://link.springer.com/journal/10701		10701		fulltext		Springer US	Serial							
Foundations of Physics Letters	0894-9875	1572-9524	01.01.1988	1	1	31.12.1996		7	http://link.springer.com/journal/10702		10702		fulltext		Kluwer Academic Publishers-Plenum Publishers	Serial							
Foundations of Science	1233-1821	1572-8471	01.03.2005	10	1	01.11.2012	17	4	http://link.springer.com/journal/10699		10699		fulltext		Springer Netherlands	Serial							
Frontiers in Biology	1674-7984	1674-7992	01.01.2006	1	1	01.12.2012	7	6	http://link.springer.com/journal/11515		11515		fulltext		Higher Education Press	Serial							
Frontiers in Energy	2095-1701	2095-1698	01.02.2007	1	1	01.12.2012	6	4	http://link.springer.com/journal/11708		11708		fulltext		Higher Education Press	Serial							
Frontiers of Chemical Science and Engineering	2095-0179	2095-0187	01.02.2007	1	1	01.12.2012	6	4	http://link.springer.com/journal/11705		11705		fulltext		Higher Education Press	Serial							
Frontiers of Computer Science	2095-2228	2095-2236	01.02.2007	1	1	01.12.2012	6	6	http://link.springer.com/journal/11704		11704		fulltext		Higher Education Press	Serial							
Frontiers of Earth Science	2095-0195	2095-0209	01.02.2007	1	1	01.12.2012	6	4	http://link.springer.com/journal/11707		11707		fulltext		Higher Education Press	Serial							
Frontiers of Environmental Science & Engineering	2095-2201	2095-221X	01.02.2007	1	1	01.12.2012	6	6	http://link.springer.com/journal/11783		11783		fulltext		Higher Education Press	Serial							
Frontiers of Information Technology & Electronic Engineering	2095-9184	2095-9230	23.12.2009	11	1	01.12.2012	13	12	http://link.springer.com/journal/11714		11714		fulltext		Zhejiang University Press	Serial							
Frontiers of Materials Science	2095-025X	2095-0268	01.02.2007	1	1	01.12.2012	6	4	http://link.springer.com/journal/11706		11706		fulltext		Higher Education Press	Serial							
Frontiers of Mathematics in China	1673-3452	1673-3576	01.01.2006	1	1	01.12.2012	7	6	http://link.springer.com/journal/11464		11464		fulltext		Higher Education Press	Serial							
Frontiers of Mechanical Engineering	2095-0233	2095-0241	01.01.2006	1	1	01.12.2012	7	4	http://link.springer.com/journal/11465		11465		fulltext		Higher Education Press	Serial							
Frontiers of Medicine	2095-0217	2095-0225	01.02.2007	1	1	01.12.2012	6	4	http://link.springer.com/journal/11684		11684		fulltext		Higher Education Press	Serial							
Frontiers of Optoelectronics	2095-2759	2095-2767	01.09.2008	1	1	01.12.2012	5	4	http://link.springer.com/journal/12200		12200		fulltext		Higher Education Press	Serial							
Frontiers of Physics	2095-0462	2095-0470	01.01.2006	1	1	01.12.2012	7	6	http://link.springer.com/journal/11467		11467		fulltext		Higher Education Press	Serial							
Frontiers of Structural and Civil Engineering	2095-2430	2095-2449	01.02.2007	1	1	01.12.2012	6	4	http://link.springer.com/journal/11709		11709		fulltext		Higher Education Press	Serial							
Functional & Integrative Genomics	1438-793X	1438-7948	01.01.2005	5	1	01.11.2012	12	4	http://link.springer.com/journal/10142		10142		fulltext		Springer Berlin Heidelberg	Serial							
Functional Analysis and Its Applications	0016-2663	1573-8485	01.01.1967	1	1	01.10.2012	46	4	http://link.springer.com/journal/10688		10688		fulltext		Springer US	Serial							
Fungal Diversity	1560-2745	1878-9129	01.01.2010	40	1	01.11.2012	57	1	http://link.springer.com/journal/13225		13225		fulltext		Springer Netherlands	Serial							
Fuzzy Optimization and Decision Making	1568-4539	1573-2908	01.02.2005	4	1	01.12.2012	11	4	http://link.springer.com/journal/10700		10700		fulltext		Springer US	Serial							
GPS Solutions	1080-5370	1521-1886	01.04.2005	9	1	01.10.2012	16	4	http://link.springer.com/journal/10291		10291		fulltext		Springer Berlin Heidelberg	Serial							
Gastric Cancer	1436-3291	1436-3305	01.02.2005	8	1	01.10.2012	15	4	http://link.springer.com/journal/10120		10120		fulltext		Springer Japan	Serial							
Gefässchirurgie	0948-7034	1434-3932	01.02.2005	10	1	01.12.2012	17	8	http://link.springer.com/journal/772		772		fulltext		Springer Medizin	Serial							
Gender Issues	1098-092X	1936-4717	01.03.1980	1	1	01.12.2012	29	1	http://link.springer.com/journal/12147		12147		fulltext		Springer US	Serial							
General Relativity and Gravitation	0001-7701	1572-9532	01.03.1970	1	1	01.12.2012	44	12	http://link.springer.com/journal/10714		10714		fulltext		Springer US	Serial							
General Thoracic and Cardiovascular Surgery	1863-6705	1863-6713	01.01.2005	53	1	01.12.2012	60	12	http://link.springer.com/journal/11748		11748		fulltext		Springer Japan	Serial							
Genetic Programming and Evolvable Machines	1389-2576	1573-7632	01.03.2005	6	1	01.12.2012	13	4	http://link.springer.com/journal/10710		10710		fulltext		Springer US	Serial							
Genetic Resources and Crop Evolution	0925-9864	1573-5109	01.12.1953	1	1	01.12.2012	59	8	http://link.springer.com/journal/10722		10722		fulltext		Springer Netherlands	Serial							
Genetica	0016-6707	1573-6857	01.01.1919	1	1	01.12.2012	140	10	http://link.springer.com/journal/10709		10709		fulltext		Springer International Publishing	Serial							
Geo-Marine Letters	0276-0460	1432-1157	01.03.1981	1	1	01.12.2012	32	5	http://link.springer.com/journal/367		367		fulltext		Springer Berlin Heidelberg	Serial							
