Publisher Code,Journal Title,Print ISSN,Electronic ISSN,Publisher,Url,Total Number of articles,First Year in the Licence,First Volume in the Licence,Last Year in the Licence,Last Volume in the Licence
bejte,The B.E. Journal of Theoretical Economics,2194-6124,1935-1704,De Gruyter,http://www.degruyter.com/view/j/bejte,384,2001,1,2015,15
bfup,BIBLIOTHEK Forschung und Praxis,0341-4183,1865-7648,Walter de Gruyter GmbH & Co. KG,http://www.degruyter.com/view/j/bfup,1747,1977,1,2015,39
bgsl,Beiträge zur Geschichte der deutschen Sprache und Literatur (PBB),0005-8076,1865-9373,"Niemeyer, Tübingen",http://www.degruyter.com/view/j/bgsl,4073,1874,,2015,
biomat,BIOmaterialien,1616-0177,2191-4672,De Gruyter,http://www.degruyter.com/view/j/biomat,325,2000,1,2015,16
bis,Basic Income Studies,2194-6094,1932-0183,De Gruyter,http://www.degruyter.com/view/j/bis,191,2006,1,2015,9
bmc,BioMolecular Concepts,1868-5021,1868-503X,Walter de Gruyter,http://www.degruyter.com/view/j/bmc,243,2010,1,2015,6
bmte,Biomedizinische Technik/Biomedical Engineering,0013-5585,1862-278X,"Walter de Gruyter, Berlin / New York",http://www.degruyter.com/view/j/bmte,11564,1956,1,2015,60
botm,Botanica Marina,0006-8055,1437-4323,"Walter de Gruyter, Berlin / New York",http://www.degruyter.com/view/j/botm,3143,1959,1,2015,58
bue,Bildung und Erziehung,0006-2456,2194-3834,Böhlau Verlag GmbH & CIE.,http://www.degruyter.com/view/j/bue,3496,1948,1,2015,68
byzs,Byzantinische Zeitschrift,0007-7704,1864-449X,"Walter de Gruyter, Berlin / New York",http://www.degruyter.com/view/j/byzs,3506,1892,1,2015,108
caslar,Chinese as a Second Language Research,2193-2263,2193-2271,De Gruyter Mouton,http://www.degruyter.com/view/j/caslar,59,2012,1,2015,4
cclm,Clinical Chemistry and Laboratory Medicine,1434-6621,1437-4331,"Walter de Gruyter, Berlin / New York",http://www.degruyter.com/view/j/cclm,9351,1963,1,2015,53
cercles,Language Learning in Higher Education,2191-611X,2191-6128,De Gruyter Mouton,http://www.degruyter.com/view/j/cercles,110,2012,1,2015,5
char,Chinese Archaeology,5004-4295,2160-5068,De Gruyter,http://www.degruyter.com/view/j/char,418,2001,1,2015,15
cjal,Chinese Journal of Applied Linguistics,2192-9505,2192-9513,De Gruyter Mouton,http://www.degruyter.com/view/j/cjal,164,2011,34,2015,38
