publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
ABI-Technik	0720-6763	2191-4664	1996	16		2015	35		http://www.degruyter.com/view/j/abitech		abitech		fulltext		De Gruyter	serial								
The African Book Publishing Record	0306-0322	7865-8717	1975	1		2015	41		http://www.degruyter.com/view/j/abpr		abpr		fulltext		Walter de Gruyter, Berlin / New York	serial								
Advances in Calculus of Variations	1864-8258	1864-8266	2008	1		2015	8		http://www.degruyter.com/view/j/acv		acv		fulltext		Walter de Gruyter GmbH & Co. KG	serial								
Advances in Geometry	1615-715X	1615-7168	2001	1		2015	15		http://www.degruyter.com/view/j/advg		advg		fulltext		Walter de Gruyter GmbH & Co. KG	serial								
Accounting, Economics and Law	2194-6051	2152-2820	2011	1		2015	5		http://www.degruyter.com/view/j/ael		ael		fulltext		De Gruyter	serial								
Archiv für Diplomatik	0066-6297	2194-5020	1955	1		2015	61		http://www.degruyter.com/view/j/afd		afd		fulltext		Böhlau Verlag GmbH & CIE.	serial								
Archiv für Religionsgeschichte	1436-3038	1868-8888	1999	1		2015	16		http://www.degruyter.com/view/j/afgs		afgs		fulltext		De Gruyter	serial								
Acta Geologica Polonica	0001-5709	2300-1887	2012	62		2015	65		http://www.degruyter.com/view/j/agp		agp		fulltext		Versita	serial								
Archiv für Geschichte der Philosophie	0003-9101	1613-0650	1888	1		2015	97		http://www.degruyter.com/view/j/agph		agph		fulltext		Walter de Gruyter, Berlin / New York	serial								
Asian Journal of Law and Economics	2194-6086	2154-4611	2010	1		2015	6		http://www.degruyter.com/view/j/ajle		ajle		fulltext		De Gruyter	serial								
Archiv für Kulturgeschichte	0003-9233	2194-3958	1903	1		2015	97		http://www.degruyter.com/view/j/akg		akg		fulltext		Böhlau Verlag GmbH & CIE.	serial								
Applied Linguistics Review	1868-6303	1868-6311	2010	1		2015	6		http://www.degruyter.com/view/j/alr		alr		fulltext		De Gruyter Mouton	serial								
Angermion	1438-2091	1868-9426	2010	3		2015	8		http://www.degruyter.com/view/j/ang		ang		fulltext		De Gruyter	serial								
Anglia - Zeitschrift für englische Philologie	0340-5222	1865-8938	1878			2015			http://www.degruyter.com/view/j/angl		angl		fulltext		Niemeyer, Tübingen	serial								
Analysis	0174-4747	2196-6753	1981	1		2015	35		http://www.degruyter.com/view/j/anly		anly		fulltext		OLDENBOURG WISSENSCHAFTSVERLAG	serial								
Annalen des Historischen Vereins für den Niederrhein	0341-289X	2194-3818	1855	1		2015	218		http://www.degruyter.com/view/j/annalen		annalen		fulltext		Böhlau Verlag GmbH & CIE.	serial								
Advances in Nonlinear Analysis	2191-9496	2191-950X	2012	1		2015	4		http://www.degruyter.com/view/j/anona		anona		fulltext		Walter de Gruyter GmbH	serial								
Antike und Abendland	0003-5696	1613-0421	1944	1		2015	61		http://www.degruyter.com/view/j/anti		anti		fulltext		Walter de Gruyter	serial								
