publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id
4OR	1619-4500	1614-2411	2005	3	1	2015			http://link.springer.com/journal/10288		10288		fulltext		Springer Berlin Heidelberg	Serial							
AAPS PharmSciTech		1530-9932	2005	6	1	2015			http://link.springer.com/journal/12249		12249		fulltext		Springer US	Serial							
ADHD Attention Deficit and Hyperactivity Disorders	1866-6116	1866-6647	2009	1	1	2014			http://link.springer.com/journal/12402		12402		fulltext		Springer Vienna	Serial							
AI & SOCIETY	0951-5666	1435-5655	1987	1	1	2015			http://link.springer.com/journal/146		146		fulltext		Springer London	Serial							
AIDS and Behavior	1090-7165	1573-3254	2005	9	1	2015			http://link.springer.com/journal/10461		10461		fulltext		Springer US	Serial							
ANNALI DELL'UNIVERSITA' DI FERRARA	0430-3202	1827-1510	1950	1	1	2015			http://link.springer.com/journal/11565		11565		fulltext		Springer Milan	Serial							
AStA Advances in Statistical Analysis	1863-8171	1863-818X	2007	91	1	2015			http://link.springer.com/journal/10182		10182		fulltext		Springer Berlin Heidelberg	Serial							
Allgemeines Statistisches Archiv	0002-6018	1614-0176	2005	89	1	2006	90	4	http://link.springer.com/journal/10182		10182		fulltext		Springer Berlin Heidelberg	Serial							
Abdominal Radiology	2366-004X	2366-0058	1976	1	1	2015			http://link.springer.com/journal/261		261		fulltext		Springer US	Serial							
Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg	0025-5858	1865-8784	1922	1	1	2015			http://link.springer.com/journal/12188		12188		fulltext		Springer Berlin Heidelberg	Serial							
Academic Psychiatry	1042-9670	1545-7230	1989	13	1	2015			http://link.springer.com/journal/40596		40596		fulltext		Springer International Publishing	Serial							
Academic Questions	0895-4852	1936-4709	1988	1	1	2015			http://link.springer.com/journal/12129		12129		fulltext		Springer US	Serial							
Accreditation and Quality Assurance	0949-1775	1432-0517	1996	1	1	2015			http://link.springer.com/journal/769		769		fulltext		Springer Berlin Heidelberg	Serial							
Acoustical Physics	1063-7710	1562-6865	2005	51	1	2015			http://link.springer.com/journal/11441		11441		fulltext		Pleiades Publishing	Serial							
Acta Analytica	0353-5150	1874-6349	2005	20	1	2015			http://link.springer.com/journal/12136		12136		fulltext		Springer Netherlands	Serial							
Acta Applicandae Mathematicae	0167-8019	1572-9036	1983	1	1	2015			http://link.springer.com/journal/10440		10440		fulltext		Springer Netherlands	Serial							
Acta Biotheoretica	0001-5342	1572-8358	1935	1	1	2015			http://link.springer.com/journal/10441		10441		fulltext		Springer Netherlands	Serial							
Acta Diabetologica	0940-5429	1432-5233	1964	1	1	2015			http://link.springer.com/journal/592		592		fulltext		Springer Milan	Serial							
Chinese Journal of Geochemistry	1000-9426	1993-0364	1986	5	1	2004	23	4	http://link.springer.com/journal/11631		11631		fulltext		Science Press	Serial							
Geochemistry	0253-486X	 	1982	1	1	1985	4	4	http://link.springer.com/journal/11631		11631		fulltext		Science Press	Serial							
Acta Geotechnica	1861-1125	1861-1133	2006	1	1	2015			http://link.springer.com/journal/11440		11440		fulltext		Springer Berlin Heidelberg	Serial							
Acta Informatica	0001-5903	1432-0525	1971	1	1	2015			http://link.springer.com/journal/236		236		fulltext		Springer Berlin Heidelberg	Serial							
Acta Mathematica	0001-5962	1871-2509	1882	1	1	2011	207	2	http://link.springer.com/journal/11511		11511		fulltext		Springer Netherlands	Serial							
Acta Mathematica Hungarica	0236-5294	1588-2632	1950	1	1	2015			http://link.springer.com/journal/10474		10474		fulltext		Springer Netherlands	Serial							
Acta Mathematica Sinica, English Series	1439-8516	1439-7617	1985	1	1	2015			http://link.springer.com/journal/10114		10114		fulltext		Institute of Mathematics, Chinese Academy of Sciences and Chinese Mathematical Society	Serial							
Acta Mathematicae Applicatae Sinica, English Series	0168-9673	1618-3932	1984	1	1	2015			http://link.springer.com/journal/10255		10255		fulltext		Springer Berlin Heidelberg	Serial							
Acta Mechanica	0001-5970	1619-6937	1965	1	1	2015			http://link.springer.com/journal/707		707		fulltext		Springer Vienna	Serial							
Acta Mechanica Sinica	0567-7718	1614-3116	2005	21	1	2015			http://link.springer.com/journal/10409		10409		fulltext		The Chinese Society of Theoretical and Applied Mechanics; Institute of Mechanics, Chinese Academy of Sciences	Serial							
Acta Neurochirurgica	0001-6268	0942-0940	1950	1	1	2015			http://link.springer.com/journal/701		701		fulltext		Springer Vienna	Serial							
Acta Neuropathologica	0001-6322	1432-0533	1961	1	1	2015			http://link.springer.com/journal/401		401		fulltext		Springer Berlin Heidelberg	Serial							
Acta Oceanologica Sinica	0253-505X	1869-1099	2010	29	1	2015			http://link.springer.com/journal/13131		13131		fulltext		The Chinese Society of Oceanography	Serial							
Acta Physica Hungarica	0231-4428		1983	54	1	1994	75	1	http://link.springer.com/journal/12242		12242		fulltext		Springer-Verlag	Serial							
Acta Physica Hungarica B) Quantum Electronics	1589-9535		2005	23	1	2009	26	1	http://link.springer.com/journal/12657		12657		fulltext		Springer Berlin Heidelberg	Serial							
Acta Physica Hungarica Series A, Heavy Ion Physics	1219-7580	1588-2675	1995	1	1	1996		4	http://link.springer.com/journal/12656		12656		fulltext		Springer-Verlag	Serial							
Acta Physiologiae Plantarum	0137-5881	1861-1664	2005	27	1	2015			http://link.springer.com/journal/11738		11738		fulltext		Springer Berlin Heidelberg	Serial							
Acta physica Academiae Scientiarum Hungaricae	0001-6705		1951	1	1	1982	53	3	http://link.springer.com/journal/12658		12658		fulltext		Springer Berlin Heidelberg	Serial							
Administration and Policy in Mental Health and Mental Health Services Research	0894-587X	1573-3289	1973	1	1	2015			http://link.springer.com/journal/10488		10488		fulltext		Springer US	Serial							
Adsorption	0929-5607	1572-8757	1995	1	1	2015			http://link.springer.com/journal/10450		10450		fulltext		Springer US	Serial							
Advances in Applied Clifford Algebras	0188-7009	1661-4909	2005	15	1	2015			http://link.springer.com/journal/6		6		fulltext		Springer International Publishing	Serial							
Advances in Atmospheric Sciences	0256-1530	1861-9533	1984	1	1	2004	21	6	http://link.springer.com/journal/376		376		fulltext		Science Press	Serial							
Advances in Computational Mathematics	1019-7168	1572-9044	1993	1	1	2015			http://link.springer.com/journal/10444		10444		fulltext		Springer US	Serial							
Advances in Contraception	0267-4874	1573-7195	1985	1	1	1996		4	http://link.springer.com/journal/10451		10451		fulltext		Kluwer Academic Publishers	Serial							
Advances in Health Sciences Education	1382-4996	1573-1677	1996	1	1	2015			http://link.springer.com/journal/10459		10459		fulltext		Springer Netherlands	Serial							
Advances in Therapy	0741-238X	1865-8652	2005	22	1	2013			http://link.springer.com/journal/12325		12325		fulltext		Springer Healthcare	Serial							
Aequationes mathematicae	0001-9054	1420-8903	1968	1	1	2015			http://link.springer.com/journal/10		10		fulltext		Springer International Publishing	Serial							
Aerobiologia	0393-5965	1573-3025	1985	1	1	2015			http://link.springer.com/journal/10453		10453		fulltext		Springer Netherlands	Serial							
Aesthetic Plastic Surgery	0364-216X	1432-5241	1976	1	1	2015			http://link.springer.com/journal/266		266		fulltext		Springer US	Serial							
African Archaeological Review	0263-0338	1572-9842	1983	1	1	2015			http://link.springer.com/journal/10437		10437		fulltext		Springer US	Serial							
Afrika Matematika	1012-9405	2190-7668	2011	22	1	2015			http://link.springer.com/journal/13370		13370		fulltext		Springer Berlin Heidelberg	Serial							
Ageing International	0163-5158	1936-606X	1974	1	2	2004	29	4	http://link.springer.com/journal/12126		12126		fulltext		Springer US	Serial							
Aging Clinical and Experimental Research		1720-8319	1989	1	1	2015			http://link.springer.com/journal/40520		40520		fulltext		Springer International Publishing	Serial							
Agriculture and Human Values	0889-048X	1572-8366	1984	1	2	2015			http://link.springer.com/journal/10460		10460		fulltext		Springer Netherlands	Serial							
Agroforestry Systems	0167-4366	1572-9680	1982	1	1	2015			http://link.springer.com/journal/10457		10457		fulltext		Springer Netherlands	Serial							
Agronomy for Sustainable Development	1774-0746	1773-0155	2007	27	1	2015			http://link.springer.com/journal/13593		13593		fulltext		Springer Paris	Serial							
Air Quality, Atmosphere & Health	1873-9318	1873-9326	2008	1	1	2015			http://link.springer.com/journal/11869		11869		fulltext		Springer Netherlands	Serial							
Algebra and Logic	0002-5232	1573-8302	1968	7	1	2015			http://link.springer.com/journal/10469		10469		fulltext		Springer US	Serial							
Algebra universalis	0002-5240	1420-8911	1971	1	1	2015			http://link.springer.com/journal/12		12		fulltext		Springer International Publishing	Serial							
Algebras and Representation Theory	1386-923X	1572-9079	2005	8	1	2015			http://link.springer.com/journal/10468		10468		fulltext		Springer Netherlands	Serial							
Algorithmica	0178-4617	1432-0541	1986	1	1	2015			http://link.springer.com/journal/453		453		fulltext		Springer US	Serial							
Allergo Journal	0941-8849	2195-6405	2005	14	1	2015			http://link.springer.com/journal/15007		15007		fulltext		Springer Medizin	Serial							
Alpine Botany	1664-2201	1664-221X	2005	115	1	2015			http://link.springer.com/journal/35		35		fulltext		Springer International Publishing	Serial							
Ambio	0044-7447	1654-7209	2010	39	1	2015			http://link.springer.com/journal/13280		13280		fulltext		Springer Netherlands	Serial							
American Journal of Criminal Justice	1066-2316	1936-1351	1975	1	1	2004	29	1	http://link.springer.com/journal/12103		12103		fulltext		Springer US	Serial							
American Journal of Dance Therapy	0146-3721	1573-3262	1977	1	1	2015			http://link.springer.com/journal/10465		10465		fulltext		Springer US	Serial							
American Journal of Potato Research	1099-209X	1874-9380	1923	1	1	2015			http://link.springer.com/journal/12230		12230		fulltext		Springer US	Serial							
Amino Acids	0939-4451	1438-2199	1991	1	1	2015			http://link.springer.com/journal/726		726		fulltext		Springer Vienna	Serial							
Analog Integrated Circuits and Signal Processing	0925-1030	1573-1979	1991	1	1	2015			http://link.springer.com/journal/10470		10470		fulltext		Springer US	Serial							
Analysis Mathematica	0133-3852	1588-273X	1975	1	1	2015			http://link.springer.com/journal/10476		10476		fulltext		Springer Netherlands	Serial							
Analytical and Bioanalytical Chemistry	1618-2642	1618-2650	1862	1	1	2015			http://link.springer.com/journal/216		216		fulltext		Springer Berlin Heidelberg	Serial							
Anatomical Science International	1447-6959	1447-073X	2005	80	1	2015			http://link.springer.com/journal/12565		12565		fulltext		Springer Japan	Serial							
