id (035a which stats with (NATIONALLICENCE)),path to fulltext,end of embargo (YYYY-MM-DD),Institutions,id for SRU (no special characters)
(NATIONALLICENCE)gruyter-10.1524/dzph.2008.0052,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/dzph.2008.56.issue-4/dzph.2008.0052/dzph.2008.0052.pdf,,National Licences: unibas,gruyter101524dzph20080052
(NATIONALLICENCE)gruyter-10.1515/ARBI.2005.317,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/arbi.2006.23.issue-3/arbi.2005.317/arbi.2005.317.pdf,,National Licences: unifr,gruyter101515ARBI2005317
(NATIONALLICENCE)gruyter-10.1515/green-2013-0007,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/green.2013.3.issue-1/green-2013-0007/green-2013-0007.pdf,,National Licences: lib4ri,gruyter101515green20130007
(NATIONALLICENCE)gruyter-10.1111/1468-2516.00185,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/pwp.2005.6.issue-3/1468-2516.00185/1468-2516.00185.pdf,,National Licences: ethz uzh,gruyter1011111468251600185
(NATIONALLICENCE)gruyter-10.1515/acv-2013-0107,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/acv.2014.7.issue-4/acv-2013-0107/acv-2013-0107.pdf,,National Licences: uzh,gruyter101515acv20130107
(NATIONALLICENCE)gruyter-10.1111/j.1468-2516.2012.00384.x,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/pwp.2012.13.issue-3/j.1468-2516.2012.00384.x/j.1468-2516.2012.00384.x.pdf,,National Licences: unil unisg uzh,gruyter101111j14682516201200384x
(NATIONALLICENCE)gruyter-10.1515/asia-2014-0021,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/asia.2014.68.issue-2/asia-2014-0021/asia-2014-0021.pdf,,National Licences: unibe,gruyter101515asia20140021
(NATIONALLICENCE)gruyter-10.1515/asia-2014-0031,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/asia.2014.68.issue-2/asia-2014-0031/asia-2014-0031.pdf,,National Licences: uzh,gruyter101515asia20140031
(NATIONALLICENCE)gruyter-10.1515/asia-2014-0025,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/asia.2014.68.issue-2/asia-2014-0025/asia-2014-0025.pdf,,National Licences: unibe,gruyter101515asia20140025
(NATIONALLICENCE)gruyter-10.1515/SEM.2006.019,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/semi.2006.2006.issue-158/sem.2006.019/sem.2006.019.pdf,,National Licences: unifr,gruyter101515SEM2006019
(NATIONALLICENCE)cambridge-10.1017/S000711451500272X,/media/lionel/Data/swissbib-data/nationallizenzen/cambridge/swiss-pdf/S000711451500272X.pdf,2020-10-28,,cambridge101017S000711451500272X
(NATIONALLICENCE)cambridge-10.1017/S0007114500002531,/media/lionel/Data/swissbib-data/nationallizenzen/cambridge/swiss-pdf/S0007114500002531.pdf,,National Licences: ethz,cambridge101017S0007114500002531
(NATIONALLICENCE)cambridge-10.1079/BJN19940113,/media/lionel/Data/swissbib-data/nationallizenzen/cambridge/swiss-pdf/S0007114594000127.pdf,,,cambridge101079BJN19940113
(NATIONALLICENCE)cambridge-10.1017/S0007114510000346,/media/lionel/Data/swissbib-data/nationallizenzen/cambridge/swiss-pdf/S0007114510000346.pdf,,National Licences: unige fachhochschulen,cambridge101017S0007114510000346
(NATIONALLICENCE)cambridge-10.1017/S0007114507791912,/media/lionel/Data/swissbib-data/nationallizenzen/cambridge/swiss-pdf/S0007114507791912.pdf,,,cambridge101017S0007114507791912
(NATIONALLICENCE)cambridge-10.1017/S0007114507795296,/media/lionel/Data/swissbib-data/nationallizenzen/cambridge/swiss-pdf/S0007114507795296.pdf,,,cambridge101017S0007114507795296
(NATIONALLICENCE)cambridge-10.1017/S0007114507815790,/media/lionel/Data/swissbib-data/nationallizenzen/cambridge/swiss-pdf/S0007114507815790.pdf,,,cambridge101017S0007114507815790
(NATIONALLICENCE)cambridge-10.1017/S0007114509991796,/media/lionel/Data/swissbib-data/nationallizenzen/cambridge/swiss-pdf/S0007114509991796.pdf,,National Licences: ethz,cambridge101017S0007114509991796
(NATIONALLICENCE)cambridge-10.1017/S0007114513001840,/media/lionel/Data/swissbib-data/nationallizenzen/cambridge/swiss-pdf/S0007114513001840.pdf,2019-01-14,,cambridge101017S0007114513001840
